#    y/2h      U/Ub
# 24
 .7192E-01 .7337E+00
 .9995E-01 .7660E+00
 .1390E+00 .7968E+00
 .1804E+00 .8075E+00
 .2176E+00 .8343E+00
 .2567E+00 .8428E+00
 .2978E+00 .8538E+00
 .3371E+00 .8758E+00
 .3798E+00 .8902E+00
 .4152E+00 .8964E+00
 .4559E+00 .9023E+00
 .4968E+00 .9118E+00
 .5331E+00 .9284E+00
 .5747E+00 .9390E+00
 .6156E+00 .9453E+00
 .6558E+00 .9544E+00
 .6946E+00 .9574E+00
 .7328E+00 .9574E+00
 .7739E+00 .9614E+00
 .8153E+00 .9662E+00
 .8543E+00 .9695E+00
 .8952E+00 .9717E+00
 .9318E+00 .9743E+00
 .9715E+00 .9798E+00

