#    y/2h      U
# 23
 .3700E-02 .5591E+00
 .8900E-02 .6500E+00
 .2890E-01 .7087E+00
 .4490E-01 .7494E+00
 .8000E-01 .8331E+00
 .1388E+00 .8625E+00
 .1815E+00 .9094E+00
 .2215E+00 .9400E+00
 .2711E+00 .9494E+00
 .3055E+00 .9456E+00
 .3529E+00 .9769E+00
 .4034E+00 .9856E+00
 .4535E+00 .9944E+00
 .4957E+00 .9981E+00
 .5505E+00 .9944E+00
 .5929E+00 .9813E+00
 .6418E+00 .9744E+00
 .6886E+00 .9556E+00
 .7292E+00 .9494E+00
 .7742E+00 .9356E+00
 .8108E+00 .9000E+00
 .8597E+00 .8594E+00
 .9089E+00 .8244E+00

