 ######################################################################
 #Data for Case=           1
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001     10000  1.28400002E+01  1.28710286E+01  6.42168367E+00  2.99687893E-01  2.99687893E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  7.70785585E-05  2.41654897E-03
  1.54164825E-04  4.83333856E-03
  2.31258801E-04  7.25036984E-03
  3.08360487E-04  9.66762727E-03
  3.85469883E-04  1.20851264E-02
  4.62586990E-04  1.45028004E-02
  5.39711810E-04  1.69207162E-02
  6.16844342E-04  1.93386949E-02
  6.93984588E-04  2.17569154E-02
  7.71132549E-04  2.41750038E-02
  8.48288224E-04  2.65933337E-02
  9.25451616E-04  2.90112314E-02
  1.00262272E-03  3.14293706E-02
  1.07980155E-03  3.38466515E-02
  1.15698809E-03  3.62641737E-02
  1.23418236E-03  3.86802666E-02
  1.31138434E-03  4.10966010E-02
  1.38859404E-03  4.35107729E-02
  1.46581147E-03  4.59251870E-02
  1.54303662E-03  4.83365282E-02
  1.62026949E-03  5.07481134E-02
  1.69751008E-03  5.31555265E-02
  1.77475840E-03  5.55631877E-02
  1.85201444E-03  5.79653804E-02
  1.92927821E-03  6.03678290E-02
  2.00654971E-03  6.27633123E-02
  2.08382893E-03  6.51590648E-02
  2.16111588E-03  6.75461560E-02
  2.23841056E-03  6.99335377E-02
  2.31571297E-03  7.23103708E-02
  2.39302311E-03  7.46875267E-02
  2.47034099E-03  7.70520685E-02
  2.54766659E-03  7.94169800E-02
  2.62499993E-03  8.17670535E-02
  2.70234100E-03  8.41175618E-02
  2.77968981E-03  8.64508760E-02
  2.85704635E-03  8.87847124E-02
  2.93441063E-03  9.10988970E-02
  3.01178264E-03  9.34137173E-02
  3.08916239E-03  9.57063625E-02
  3.16654988E-03  9.79997863E-02
  3.24394511E-03  1.00268484E-01
  3.32134808E-03  1.02538136E-01
  3.39875879E-03  1.04780525E-01
  3.47617724E-03  1.07024076E-01
  3.55360344E-03  1.09237878E-01
  3.63103737E-03  1.11453086E-01
  3.70847905E-03  1.13636150E-01
  3.78592848E-03  1.15820896E-01
  3.86338565E-03  1.17971229E-01
  3.94085056E-03  1.20123551E-01
  4.01832323E-03  1.22239345E-01
  4.09580364E-03  1.24357462E-01
  4.17329180E-03  1.26437115E-01
  4.25078771E-03  1.28519448E-01
  4.32829136E-03  1.30561580E-01
  4.40580277E-03  1.32606765E-01
  4.48332193E-03  1.34610223E-01
  4.56084885E-03  1.36617118E-01
  4.63838351E-03  1.38580977E-01
  4.71592593E-03  1.40548661E-01
  4.79347611E-03  1.42472220E-01
  4.87103404E-03  1.44399989E-01
  4.94859973E-03  1.46282761E-01
  5.02617317E-03  1.48170123E-01
  5.10375437E-03  1.50011823E-01
  5.18134333E-03  1.51858478E-01
  5.25894005E-03  1.53659007E-01
  5.33654453E-03  1.55464840E-01
  5.41415677E-03  1.57224269E-01
  5.49177677E-03  1.58989329E-01
  5.56940453E-03  1.60707879E-01
  5.64704006E-03  1.62432366E-01
  5.72468335E-03  1.64110394E-01
  5.80233440E-03  1.65794636E-01
  5.87999323E-03  1.67432615E-01
  5.95765981E-03  1.69077058E-01
  6.03533417E-03  1.70675559E-01
  6.11301629E-03  1.72280748E-01
  6.19070618E-03  1.73840428E-01
  6.26840384E-03  1.75406989E-01
  6.34610927E-03  1.76928573E-01
  6.42382247E-03  1.78457204E-01
  6.50154344E-03  1.79941473E-01
  6.57927219E-03  1.81432928E-01
  6.65700871E-03  1.82880708E-01
  6.73475300E-03  1.84335785E-01
  6.81250507E-03  1.85747934E-01
  6.89026491E-03  1.87167468E-01
  6.96803253E-03  1.88544869E-01
  7.04580793E-03  1.89929718E-01
  7.12359110E-03  1.91273270E-01
  7.20138205E-03  1.92624312E-01
  7.27918079E-03  1.93934921E-01
  7.35698730E-03  1.95253043E-01
  7.43480159E-03  1.96531621E-01
  7.51262367E-03  1.97817714E-01
  7.59045353E-03  1.99065167E-01
  7.66829117E-03  2.00320121E-01
  7.74613660E-03  2.01537351E-01
  7.82398981E-03  2.02762053E-01
  7.90185080E-03  2.03949949E-01
  7.97971959E-03  2.05145275E-01
  8.05759616E-03  2.06304715E-01
  8.13548052E-03  2.07471530E-01
  8.21337266E-03  2.08603375E-01
  8.29127260E-03  2.09742528E-01
  8.36918033E-03  2.10847621E-01
  8.44709585E-03  2.11959947E-01
  8.52501916E-03  2.13039113E-01
  8.60295026E-03  2.14125427E-01
  8.68088916E-03  2.15179469E-01
  8.75883585E-03  2.16240568E-01
  8.83679033E-03  2.17270269E-01
  8.91475261E-03  2.18306929E-01
  8.99272269E-03  2.19313048E-01
  9.07070057E-03  2.20326025E-01
  9.14868624E-03  2.21309302E-01
  9.22667971E-03  2.22299329E-01
  9.30468099E-03  2.23260480E-01
  9.38269006E-03  2.24228270E-01
  9.46070693E-03  2.25167988E-01
  9.53873161E-03  2.26114232E-01
  9.61676409E-03  2.27033189E-01
  9.69480437E-03  2.27958556E-01
  9.77285246E-03  2.28857401E-01
  9.85090835E-03  2.29762540E-01
  9.92897205E-03  2.30641902E-01
  1.00070436E-02  2.31527439E-01
  1.00851229E-02  2.32387923E-01
  1.01632100E-02  2.33254465E-01
  1.02413049E-02  2.34096659E-01
  1.03194077E-02  2.34944790E-01
  1.03975182E-02  2.35769259E-01
  1.04756366E-02  2.36599546E-01
  1.05537627E-02  2.37406835E-01
  1.06318967E-02  2.38219825E-01
  1.07100385E-02  2.39010462E-01
  1.07881882E-02  2.39806681E-01
  1.08663456E-02  2.40581174E-01
  1.09445108E-02  2.41361132E-01
  1.10226839E-02  2.42119970E-01
  1.11008648E-02  2.42884158E-01
  1.11790535E-02  2.43627814E-01
  1.12572500E-02  2.44376706E-01
  1.13354543E-02  2.45105636E-01
  1.14136665E-02  2.45839690E-01
  1.14918865E-02  2.46554333E-01
  1.15701143E-02  2.47273989E-01
  1.16483499E-02  2.47974770E-01
  1.17265934E-02  2.48680453E-01
  1.18048446E-02  2.49367779E-01
  1.18831037E-02  2.50059901E-01
  1.19613707E-02  2.50734167E-01
  1.20396454E-02  2.51413122E-01
  1.21179280E-02  2.52074708E-01
  1.21962184E-02  2.52740879E-01
  1.22745167E-02  2.53390150E-01
  1.23528227E-02  2.54043906E-01
  1.24311366E-02  2.54681216E-01
  1.25094584E-02  2.55322911E-01
  1.25877879E-02  2.55948601E-01
  1.26661253E-02  2.56578578E-01
  1.27444706E-02  2.57192976E-01
  1.28228236E-02  2.57811567E-01
  1.29011845E-02  2.58414991E-01
  1.29795533E-02  2.59022513E-01
  1.30579299E-02  2.59615269E-01
  1.31363143E-02  2.60212032E-01
  1.32147065E-02  2.60794415E-01
  1.32931066E-02  2.61380716E-01
  1.33715146E-02  2.61953010E-01
  1.34499303E-02  2.62529136E-01
  1.35283540E-02  2.63091617E-01
  1.36067854E-02  2.63657845E-01
  1.36852247E-02  2.64210778E-01
  1.37636719E-02  2.64767376E-01
  1.38421269E-02  2.65311019E-01
  1.39205897E-02  2.65858244E-01
  1.39990604E-02  2.66392844E-01
  1.40775389E-02  2.66930947E-01
  1.41560253E-02  2.67456743E-01
  1.42345196E-02  2.67985965E-01
  1.43130216E-02  2.68503188E-01
  1.43915316E-02  2.69023762E-01
  1.44700494E-02  2.69532636E-01
  1.45485750E-02  2.70044788E-01
  1.46271085E-02  2.70545528E-01
  1.47056498E-02  2.71049475E-01
  1.47841990E-02  2.71542291E-01
