YbyH,VW,H,DPDX,dummy1,dummy2,dummy3,UbyVw
0.006434,12.84,0.066,0.0,0.0,0.0,0.0,0.1859
0.01608,12.84,0.066,0.0,0.0,0.0,0.0,0.2726
0.02964,12.84,0.066,0.0,0.0,0.0,0.0,0.3141
0.0455,12.84,0.066,0.0,0.0,0.0,0.0,0.3428
0.09237,12.84,0.066,0.0,0.0,0.0,0.0,0.385
0.1372,12.84,0.066,0.0,0.0,0.0,0.0,0.4048
0.1795,12.84,0.066,0.0,0.0,0.0,0.0,0.4199
0.2295,12.84,0.066,0.0,0.0,0.0,0.0,0.4317
0.2723,12.84,0.066,0.0,0.0,0.0,0.0,0.4372
0.318,12.84,0.066,0.0,0.0,0.0,0.0,0.4563
0.3628,12.84,0.066,0.0,0.0,0.0,0.0,0.4651
0.4092,12.84,0.066,0.0,0.0,0.0,0.0,0.4765
0.4554,12.84,0.066,0.0,0.0,0.0,0.0,0.4853
0.5014,12.84,0.066,0.0,0.0,0.0,0.0,0.4952
0.546,12.84,0.066,0.0,0.0,0.0,0.0,0.5073
0.5938,12.84,0.066,0.0,0.0,0.0,0.0,0.5165
0.6381,12.84,0.066,0.0,0.0,0.0,0.0,0.532
0.6799,12.84,0.066,0.0,0.0,0.0,0.0,0.5408
0.7295,12.84,0.066,0.0,0.0,0.0,0.0,0.5522
0.7725,12.84,0.066,0.0,0.0,0.0,0.0,0.565
0.8171,12.84,0.066,0.0,0.0,0.0,0.0,0.5735
0.8647,12.84,0.066,0.0,0.0,0.0,0.0,0.5904
