 ######################################################################
 #Data for Case=           1
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999997E-07     101      1532  1.28400002E+01  1.63704182E+01  6.27986230E+00  2.80655827E-01  2.80655827E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  9.99975500E-03  2.74954674E-01
  1.99995200E-02  2.86477287E-01
  2.99992950E-02  3.34367207E-01
  3.99990800E-02  3.41727285E-01
  4.99988750E-02  3.58204915E-01
  5.99986800E-02  3.64447216E-01
  6.99984950E-02  3.73575275E-01
  7.99983200E-02  3.78698605E-01
  8.99981550E-02  3.85039040E-01
  9.99980000E-02  3.89329912E-01
  1.09997855E-01  3.94263470E-01
  1.19997720E-01  3.97965283E-01
  1.29997595E-01  4.02059639E-01
  1.39997480E-01  4.05339848E-01
  1.49997375E-01  4.08882091E-01
  1.59997280E-01  4.11853972E-01
  1.69997195E-01  4.15010668E-01
  1.79997120E-01  4.17752801E-01
  1.89997055E-01  4.20629932E-01
  1.99997000E-01  4.23198587E-01
  2.09996955E-01  4.25868078E-01
  2.19996920E-01  4.28304754E-01
  2.29996895E-01  4.30817762E-01
  2.39996880E-01  4.33153820E-01
  2.49996875E-01  4.35548036E-01
  2.59996880E-01  4.37807649E-01
  2.69996895E-01  4.40111589E-01
  2.79996920E-01  4.42313648E-01
  2.89996955E-01  4.44549312E-01
  2.99997000E-01  4.46708701E-01
  3.09997055E-01  4.48893284E-01
  3.19997120E-01  4.51021751E-01
  3.29997195E-01  4.53168775E-01
  3.39997280E-01  4.55275540E-01
  3.49997375E-01  4.57395630E-01
  3.59997480E-01  4.59487823E-01
  3.69997595E-01  4.61589257E-01
  3.79997720E-01  4.63672250E-01
  3.89997855E-01  4.65761356E-01
  3.99998000E-01  4.67839036E-01
  4.09998155E-01  4.69920506E-01
  4.19998320E-01  4.71995513E-01
  4.29998495E-01  4.74072665E-01
  4.39998680E-01  4.76146621E-01
  4.49998875E-01  4.78221639E-01
  4.59999080E-01  4.80295377E-01
  4.69999295E-01  4.82369543E-01
  4.79999520E-01  4.84443354E-01
  4.89999755E-01  4.86517285E-01
  5.00000000E-01  4.88591165E-01
  5.10000245E-01  4.90665063E-01
  5.20000480E-01  4.92738967E-01
  5.30000705E-01  4.94812866E-01
  5.40000920E-01  4.96886979E-01
  5.50001125E-01  4.98961019E-01
  5.60001320E-01  5.01036011E-01
  5.70001505E-01  5.03110684E-01
  5.80001680E-01  5.05187948E-01
  5.90001845E-01  5.07264351E-01
  6.00002000E-01  5.09346246E-01
  6.10002145E-01  5.11426317E-01
  6.20002280E-01  5.13516394E-01
  6.30002405E-01  5.15603149E-01
  6.40002520E-01  5.17706391E-01
  6.50002625E-01  5.19804158E-01
  6.60002720E-01  5.21927242E-01
  6.70002805E-01  5.24041917E-01
  6.80002880E-01  5.26193535E-01
  6.90002945E-01  5.28332877E-01
  7.00003000E-01  5.30524146E-01
  7.10003045E-01  5.32698151E-01
  7.20003080E-01  5.34943189E-01
  7.30003105E-01  5.37164594E-01
  7.40003120E-01  5.39481323E-01
  7.50003125E-01  5.41766313E-01
  7.60003120E-01  5.44177656E-01
  7.70003105E-01  5.46546894E-01
  7.80003080E-01  5.49082561E-01
  7.90003045E-01  5.51562727E-01
  8.00003000E-01  5.54261982E-01
  8.10002945E-01  5.56888145E-01
  8.20002880E-01  5.59804240E-01
  8.30002805E-01  5.62623656E-01
  8.40002720E-01  5.65831231E-01
  8.50002625E-01  5.68909726E-01
  8.60002520E-01  5.72517900E-01
  8.70002405E-01  5.75951296E-01
  8.80002280E-01  5.80128533E-01
  8.90002145E-01  5.84064967E-01
  9.00002000E-01  5.89091065E-01
  9.10001845E-01  5.93779820E-01
  9.20001680E-01  6.00169669E-01
  9.30001505E-01  6.06085602E-01
  9.40001320E-01  6.14943098E-01
  9.50001125E-01  6.23178730E-01
  9.60000920E-01  6.37540511E-01
  9.70000705E-01  6.51528872E-01
  9.80000480E-01  6.85004994E-01
  9.90000245E-01  7.25045326E-01
  1.00000000E+00  1.00000000E+00
