 ######################################################################
 #Data for Case=           3
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001     10000  1.28400002E+01  1.28556957E+01  8.00798634E+00  3.78823495E-01  2.13146064E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  7.70785585E-05  3.86127752E-03
  1.54164825E-04  7.72263179E-03
  2.31258801E-04  1.15841687E-02
  3.08360487E-04  1.54458252E-02
  3.85469883E-04  1.93076642E-02
  4.62586990E-04  2.31694148E-02
  5.39711810E-04  2.70313479E-02
  6.16844342E-04  3.08927418E-02
  6.93984588E-04  3.47543179E-02
  7.71132549E-04  3.86145720E-02
  8.48288224E-04  4.24750081E-02
  9.25451616E-04  4.63329248E-02
  1.00262272E-03  5.01910237E-02
  1.07980155E-03  5.40449163E-02
  1.15698809E-03  5.78989931E-02
  1.23418236E-03  6.17466238E-02
  1.31138434E-03  6.55944445E-02
  1.38859404E-03  6.94329778E-02
  1.46581147E-03  7.32717149E-02
  1.54303662E-03  7.70976922E-02
  1.62026949E-03  8.09239014E-02
  1.69751008E-03  8.47332415E-02
  1.77475840E-03  8.85428645E-02
  1.85201444E-03  9.23308943E-02
  1.92927821E-03  9.61192925E-02
  2.00654971E-03  9.98808114E-02
  2.08382893E-03  1.03642833E-01
  2.16111588E-03  1.07372210E-01
  2.23841056E-03  1.11102288E-01
  2.31571297E-03  1.14793594E-01
  2.39302311E-03  1.18485877E-01
  2.47034099E-03  1.22133032E-01
  2.54766659E-03  1.25781537E-01
  2.62499993E-03  1.29378483E-01
  2.70234100E-03  1.32977253E-01
  2.77968981E-03  1.36518124E-01
  2.85704635E-03  1.40061403E-01
  2.93441063E-03  1.43540684E-01
  3.01178264E-03  1.47023064E-01
  3.08916239E-03  1.50435732E-01
  3.16654988E-03  1.53852289E-01
  3.24394511E-03  1.57193926E-01
  3.32134808E-03  1.60540325E-01
  3.39875879E-03  1.63807192E-01
  3.47617724E-03  1.67079757E-01
  3.55360344E-03  1.70268836E-01
  3.63103737E-03  1.73464589E-01
  3.70847905E-03  1.76573592E-01
  3.78592848E-03  1.79690258E-01
  3.86338565E-03  1.82717608E-01
  3.94085056E-03  1.85753599E-01
  4.01832323E-03  1.88698383E-01
  4.09580364E-03  1.91652756E-01
  4.17329180E-03  1.94514675E-01
  4.25078771E-03  1.97387077E-01
  4.32829136E-03  2.00166372E-01
  4.40580277E-03  2.02956977E-01
  4.48332193E-03  2.05654361E-01
  4.56084885E-03  2.08363803E-01
  4.63838351E-03  2.10980388E-01
  4.71592593E-03  2.13609692E-01
  4.79347611E-03  2.16146919E-01
  4.87103404E-03  2.18697438E-01
  4.94859973E-03  2.21157013E-01
  5.02617317E-03  2.23630363E-01
  5.10375437E-03  2.26014201E-01
  5.18134333E-03  2.28412208E-01
  5.25894005E-03  2.30722381E-01
  5.33654453E-03  2.33047030E-01
  5.41415677E-03  2.35285720E-01
  5.49177677E-03  2.37539114E-01
  5.56940453E-03  2.39708578E-01
  5.64704006E-03  2.41892900E-01
  5.72468335E-03  2.43995435E-01
  5.80233440E-03  2.46112914E-01
  5.87999323E-03  2.48150834E-01
  5.95765981E-03  2.50203722E-01
  6.03533417E-03  2.52179334E-01
  6.11301629E-03  2.54169882E-01
  6.19070618E-03  2.56085467E-01
  6.26840384E-03  2.58015909E-01
  6.34610927E-03  2.59873712E-01
  6.42382247E-03  2.61746251E-01
  6.50154344E-03  2.63548467E-01
  6.57927219E-03  2.65365261E-01
  6.65700871E-03  2.67114028E-01
  6.73475300E-03  2.68877185E-01
  6.81250507E-03  2.70574578E-01
  6.89026491E-03  2.72286147E-01
  6.96803253E-03  2.73934175E-01
  7.04580793E-03  2.75596143E-01
  7.12359110E-03  2.77196744E-01
  7.20138205E-03  2.78811031E-01
  7.27918079E-03  2.80366074E-01
  7.35698730E-03  2.81934534E-01
  7.43480159E-03  2.83445812E-01
  7.51262367E-03  2.84970230E-01
  7.59045353E-03  2.86439469E-01
  7.66829117E-03  2.87921559E-01
  7.74613660E-03  2.89350412E-01
  7.82398981E-03  2.90791823E-01
  7.90185080E-03  2.92181873E-01
  7.97971959E-03  2.93584186E-01
  8.05759616E-03  2.94936949E-01
  8.13548052E-03  2.96301678E-01
  8.21337266E-03  2.97618605E-01
  8.29127260E-03  2.98947200E-01
  8.36918033E-03  3.00229679E-01
  8.44709585E-03  3.01523528E-01
  8.52501916E-03  3.02772883E-01
  8.60295026E-03  3.04033314E-01
  8.68088916E-03  3.05250813E-01
  8.75883585E-03  3.06479095E-01
  8.83679033E-03  3.07665947E-01
  8.91475261E-03  3.08863295E-01
  8.99272269E-03  3.10020656E-01
  9.07070057E-03  3.11188229E-01
  9.14868624E-03  3.12317202E-01
  9.22667971E-03  3.13456109E-01
  9.30468099E-03  3.14557749E-01
  9.38269006E-03  3.15669050E-01
  9.46070693E-03  3.16744362E-01
  9.53873161E-03  3.17829070E-01
  9.61676409E-03  3.18879016E-01
  9.69480437E-03  3.19938097E-01
  9.77285246E-03  3.20963596E-01
  9.85090835E-03  3.21997976E-01
  9.92897205E-03  3.22999904E-01
  1.00070436E-02  3.24010466E-01
  1.00851229E-02  3.24989663E-01
  1.01632100E-02  3.25977252E-01
  1.02413049E-02  3.26934518E-01
  1.03194077E-02  3.27899943E-01
  1.03975182E-02  3.28836043E-01
  1.04756366E-02  3.29780075E-01
  1.05537627E-02  3.30695743E-01
  1.06318967E-02  3.31619121E-01
  1.07100385E-02  3.32515057E-01
  1.07881882E-02  3.33418488E-01
  1.08663456E-02  3.34295362E-01
  1.09445108E-02  3.35179523E-01
  1.10226839E-02  3.36037975E-01
  1.11008648E-02  3.36903512E-01
  1.11790535E-02  3.37744157E-01
  1.12572500E-02  3.38591691E-01
  1.13354543E-02  3.39415116E-01
  1.14136665E-02  3.40245240E-01
  1.14918865E-02  3.41052008E-01
  1.15701143E-02  3.41865290E-01
  1.16483499E-02  3.42655940E-01
  1.17265934E-02  3.43452927E-01
  1.18048446E-02  3.44227975E-01
  1.18831037E-02  3.45009187E-01
  1.19613707E-02  3.45769129E-01
  1.20396454E-02  3.46535068E-01
  1.21179280E-02  3.47280379E-01
  1.21962184E-02  3.48031526E-01
