 ######################################################################
 #Data for Case=          13
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001     10000  1.28400002E+01  2.31831660E+01  2.11110825E+01  9.60041999E-01  5.47100862E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  7.70785585E-05  2.47991999E-02
  1.54164825E-04  4.95959720E-02
  2.31258801E-04  7.43926906E-02
  3.08360487E-04  9.91731608E-02
  3.85469883E-04  1.23953577E-01
  4.62586990E-04  1.48666094E-01
  5.39711810E-04  1.73378647E-01
  6.16844342E-04  1.97916566E-01
  6.93984588E-04  2.22455262E-01
  7.71132549E-04  2.46648815E-01
  8.48288224E-04  2.70846269E-01
  9.25451616E-04  2.94471643E-01
  1.00262272E-03  3.18109713E-01
  1.07980155E-03  3.40918473E-01
  1.15698809E-03  3.63758151E-01
  1.23418236E-03  3.85519452E-01
  1.31138434E-03  4.07340957E-01
  1.38859404E-03  4.27879571E-01
  1.46581147E-03  4.48516299E-01
  1.54303662E-03  4.67731674E-01
  1.62026949E-03  4.87086025E-01
  1.69751008E-03  5.04950022E-01
  1.77475840E-03  5.22990682E-01
  1.85201444E-03  5.39531964E-01
  1.92927821E-03  5.56280149E-01
  2.00654971E-03  5.71564946E-01
  2.08382893E-03  5.87077675E-01
  2.16111588E-03  6.01192999E-01
  2.23841056E-03  6.15548276E-01
  2.31571297E-03  6.28589655E-01
  2.39302311E-03  6.41875303E-01
  2.47034099E-03  6.53938825E-01
  2.54766659E-03  6.66244914E-01
  2.62499993E-03  6.77422567E-01
  2.70234100E-03  6.88836724E-01
  2.77968981E-03  6.99213977E-01
  2.85704635E-03  7.09818726E-01
  2.93441063E-03  7.19473535E-01
  3.01178264E-03  7.29345007E-01
  3.08916239E-03  7.38347652E-01
  3.16654988E-03  7.47555150E-01
  3.24394511E-03  7.55968544E-01
  3.32134808E-03  7.64574607E-01
  3.39875879E-03  7.72454836E-01
  3.47617724E-03  7.80515601E-01
  3.55360344E-03  7.87912559E-01
  3.63103737E-03  7.95478250E-01
  3.70847905E-03  8.02436293E-01
  3.78592848E-03  8.09551771E-01
  3.86338565E-03  8.16110338E-01
  3.94085056E-03  8.22815652E-01
  4.01832323E-03  8.29009844E-01
  4.09580364E-03  8.35340753E-01
  4.17329180E-03  8.41201852E-01
  4.25078771E-03  8.47190312E-01
  4.32829136E-03  8.52746242E-01
  4.40580277E-03  8.58420844E-01
  4.48332193E-03  8.63696581E-01
  4.56084885E-03  8.69082942E-01
  4.63838351E-03  8.74100868E-01
  4.71592593E-03  8.79221982E-01
  4.79347611E-03  8.84002196E-01
  4.87103404E-03  8.88878736E-01
  4.94859973E-03  8.93439328E-01
  5.02617317E-03  8.98089917E-01
  5.10375437E-03  9.02447202E-01
  5.18134333E-03  9.06888651E-01
  5.25894005E-03  9.11057373E-01
  5.33654453E-03  9.15304884E-01
  5.41415677E-03  9.19298401E-01
  5.49177677E-03  9.23365748E-01
  5.56940453E-03  9.27196181E-01
  5.64704006E-03  9.31095873E-01
  5.72468335E-03  9.34774246E-01
  5.80233440E-03  9.38517659E-01
  5.87999323E-03  9.42054020E-01
  5.95765981E-03  9.45651522E-01
  6.03533417E-03  9.49055043E-01
  6.11301629E-03  9.52516104E-01
  6.19070618E-03  9.55795176E-01
  6.26840384E-03  9.59128455E-01
  6.34610927E-03  9.62290768E-01
  6.42382247E-03  9.65504202E-01
  6.50154344E-03  9.68556816E-01
  6.57927219E-03  9.71657690E-01
  6.65700871E-03  9.74607097E-01
  6.73475300E-03  9.77602110E-01
  6.81250507E-03  9.80454290E-01
  6.89026491E-03  9.83349612E-01
  6.96803253E-03  9.86110083E-01
  7.04580793E-03  9.88911405E-01
  7.12359110E-03  9.91585266E-01
  7.20138205E-03  9.94297846E-01
  7.27918079E-03  9.96889817E-01
  7.35698730E-03  9.99518519E-01
  7.43480159E-03  1.00203297E+00
