 ######################################################################
 #Data for Case=          16
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001       328  1.79999995E+00  2.03075785E+00  1.66677017E+00  4.31027266E-02  1.11991760E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  0.00000000E+00  1.60726106E+01
  7.70785585E-05  1.08010794E+00
  1.54164825E-04  1.08028284E+00
  2.31258801E-04  1.08045765E+00
  3.08360487E-04  1.08063238E+00
  3.85469883E-04  1.08080702E+00
  4.62586990E-04  1.08098157E+00
  5.39711810E-04  1.08115603E+00
  6.16844342E-04  1.08133041E+00
  6.93984588E-04  1.08150469E+00
  7.71132549E-04  1.08167890E+00
  8.48288224E-04  1.08185301E+00
  9.25451616E-04  1.08202704E+00
  1.00262272E-03  1.08220098E+00
  1.07980155E-03  1.08237483E+00
  1.15698809E-03  1.08254859E+00
  1.23418236E-03  1.08272227E+00
  1.31138434E-03  1.08289586E+00
  1.38859404E-03  1.08306936E+00
  1.46581147E-03  1.08324277E+00
  1.54303662E-03  1.08341610E+00
  1.62026949E-03  1.08358934E+00
  1.69751008E-03  1.08376249E+00
  1.77475840E-03  1.08393555E+00
  1.85201444E-03  1.08410853E+00
  1.92927821E-03  1.08428141E+00
  2.00654971E-03  1.08445421E+00
  2.08382893E-03  1.08462693E+00
  2.16111588E-03  1.08479955E+00
  2.23841056E-03  1.08497209E+00
  2.31571297E-03  1.08514454E+00
  2.39302311E-03  1.08531690E+00
  2.47034099E-03  1.08548917E+00
  2.54766659E-03  1.08566135E+00
  2.62499993E-03  1.08583345E+00
  2.70234100E-03  1.08600546E+00
  2.77968981E-03  1.08617738E+00
  2.85704635E-03  1.08634921E+00
  2.93441063E-03  1.08652095E+00
  3.01178264E-03  1.08669261E+00
  3.08916239E-03  1.08686418E+00
  3.16654988E-03  1.08703566E+00
  3.24394511E-03  1.08720705E+00
  3.32134808E-03  1.08737835E+00
  3.39875879E-03  1.08754956E+00
  3.47617724E-03  1.08772069E+00
  3.55360344E-03  1.08789173E+00
  3.63103737E-03  1.08806268E+00
  3.70847905E-03  1.08823354E+00
  3.78592848E-03  1.08840431E+00
  3.86338565E-03  1.08857499E+00
  3.94085056E-03  1.08874559E+00
  4.01832323E-03  1.08891609E+00
  4.09580364E-03  1.08908651E+00
  4.17329180E-03  1.08925684E+00
  4.25078771E-03  1.08942708E+00
  4.32829136E-03  1.08959723E+00
  4.40580277E-03  1.08976729E+00
  4.48332193E-03  1.08993726E+00
  4.56084885E-03  1.09010715E+00
  4.63838351E-03  1.09027695E+00
  4.71592593E-03  1.09044665E+00
  4.79347611E-03  1.09061627E+00
  4.87103404E-03  1.09078580E+00
  4.94859973E-03  1.09095524E+00
  5.02617317E-03  1.09112459E+00
  5.10375437E-03  1.09129385E+00
  5.18134333E-03  1.09146302E+00
  5.25894005E-03  1.09163211E+00
  5.33654453E-03  1.09180110E+00
  5.41415677E-03  1.09197001E+00
  5.49177677E-03  1.09213882E+00
  5.56940453E-03  1.09230755E+00
  5.64704006E-03  1.09247619E+00
  5.72468335E-03  1.09264474E+00
  5.80233440E-03  1.09281319E+00
  5.87999323E-03  1.09298156E+00
  5.95765981E-03  1.09314984E+00
  6.03533417E-03  1.09331803E+00
  6.11301629E-03  1.09348613E+00
  6.19070618E-03  1.09365414E+00
  6.26840384E-03  1.09382206E+00
  6.34610927E-03  1.09398990E+00
  6.42382247E-03  1.09415764E+00
  6.50154344E-03  1.09432529E+00
  6.57927219E-03  1.09449285E+00
  6.65700871E-03  1.09466033E+00
  6.73475300E-03  1.09482771E+00
  6.81250507E-03  1.09499500E+00
  6.89026491E-03  1.09516220E+00
  6.96803253E-03  1.09532932E+00
  7.04580793E-03  1.09549634E+00
  7.12359110E-03  1.09566327E+00
  7.20138205E-03  1.09583012E+00
  7.27918079E-03  1.09599687E+00
  7.35698730E-03  1.09616353E+00
  7.43480159E-03  1.09633010E+00
  7.51262367E-03  1.09649659E+00
  7.59045353E-03  1.09666298E+00
  7.66829117E-03  1.09682928E+00
  7.74613660E-03  1.09699549E+00
  7.82398981E-03  1.09716161E+00
  7.90185080E-03  1.09732764E+00
  7.97971959E-03  1.09749358E+00
  8.05759616E-03  1.09765943E+00
  8.13548052E-03  1.09782519E+00
  8.21337266E-03  1.09799086E+00
  8.29127260E-03  1.09815644E+00
  8.36918033E-03  1.09832193E+00
  8.44709585E-03  1.09848732E+00
  8.52501916E-03  1.09865263E+00
  8.60295026E-03  1.09881784E+00
  8.68088916E-03  1.09898297E+00
  8.75883585E-03  1.09914800E+00
  8.83679033E-03  1.09931294E+00
  8.91475261E-03  1.09947780E+00
  8.99272269E-03  1.09964256E+00
  9.07070057E-03  1.09980723E+00
  9.14868624E-03  1.09997180E+00
  9.22667971E-03  1.10013629E+00
  9.30468099E-03  1.10030069E+00
  9.38269006E-03  1.10046499E+00
  9.46070693E-03  1.10062921E+00
  9.53873161E-03  1.10079333E+00
  9.61676409E-03  1.10095736E+00
  9.69480437E-03  1.10112130E+00
  9.77285246E-03  1.10128515E+00
  9.85090835E-03  1.10144891E+00
  9.92897205E-03  1.10161257E+00
  1.00070436E-02  1.10177614E+00
