 ######################################################################
 #Data for Case=          11
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001      3377  1.28400002E+01  1.59605859E+01  1.42521211E+01  6.67347141E-01  2.22817842E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  9.75257087E-04  1.51616457E-01
  1.95061171E-03  2.77347296E-01
  2.92606386E-03  4.04828697E-01
  3.90161357E-03  4.59586497E-01
  4.87726084E-03  5.28407059E-01
  5.85300568E-03  5.58576018E-01
  6.82884809E-03  5.98069739E-01
  7.80478810E-03  6.18489485E-01
  8.78082571E-03  6.44026961E-01
  9.75696092E-03  6.59235216E-01
  1.07331938E-02  6.77383574E-01
  1.17095242E-02  6.89367817E-01
  1.26859523E-02  7.03169719E-01
  1.36624781E-02  7.12990100E-01
  1.46391015E-02  7.24011235E-01
  1.56158225E-02  7.32296584E-01
  1.65926413E-02  7.41419482E-01
  1.75695577E-02  7.48569093E-01
  1.85465718E-02  7.56329135E-01
  1.95236837E-02  7.62609662E-01
  2.05008932E-02  7.69351266E-01
  2.14782005E-02  7.74948078E-01
  2.24556055E-02  7.80903555E-01
  2.34331083E-02  7.85949869E-01
  2.44107088E-02  7.91282125E-01
  2.53884071E-02  7.95876404E-01
  2.63662031E-02  8.00703431E-01
  2.73440970E-02  8.04920228E-01
  2.83220886E-02  8.09329864E-01
  2.93001780E-02  8.13226826E-01
  3.02783653E-02  8.17286019E-01
  3.12566504E-02  8.20908550E-01
  3.22350333E-02  8.24669382E-01
  3.32135140E-02  8.28053831E-01
  3.41920926E-02  8.31557549E-01
  3.51707691E-02  8.34733445E-01
  3.61495434E-02  8.38013242E-01
  3.71284157E-02  8.41004886E-01
  3.81073858E-02  8.44087855E-01
  3.90864538E-02  8.46915484E-01
  4.00656197E-02  8.49824020E-01
  4.10448836E-02  8.52504669E-01
  4.20242454E-02  8.55257496E-01
  4.30037051E-02  8.57805640E-01
  4.39832628E-02  8.60418577E-01
  4.49629184E-02  8.62846628E-01
  4.59426720E-02  8.65333166E-01
  4.69225236E-02  8.67651847E-01
  4.79024731E-02  8.70023587E-01
  4.88825207E-02  8.72242236E-01
  4.98626663E-02  8.74509235E-01
  5.08429099E-02  8.76636033E-01
  5.18232515E-02  8.78807068E-01
  5.28036912E-02  8.80849227E-01
  5.37842289E-02  8.82932009E-01
  5.47648647E-02  8.84895925E-01
  5.57455986E-02  8.86897268E-01
  5.67264305E-02  8.88788638E-01
  5.77073605E-02  8.90714595E-01
  5.86883886E-02  8.92538521E-01
  5.96695148E-02  8.94394498E-01
  6.06507392E-02  8.96155566E-01
  6.16320616E-02  8.97946411E-01
  6.26134822E-02  8.99648761E-01
  6.35950010E-02  9.01378838E-01
  6.45766179E-02  9.03026221E-01
  6.55583330E-02  9.04699479E-01
  6.65401462E-02  9.06295304E-01
  6.75220576E-02  9.07915324E-01
  6.85040673E-02  9.09462699E-01
  6.94861751E-02  9.11032741E-01
  7.04683812E-02  9.12534511E-01
  7.14506854E-02  9.14057551E-01
  7.24330880E-02  9.15516323E-01
  7.34155887E-02  9.16995087E-01
  7.43981877E-02  9.18413257E-01
  7.53808850E-02  9.19850247E-01
  7.63636806E-02  9.21230025E-01
  7.73465744E-02  9.22627543E-01
  7.83295665E-02  9.23970970E-01
  7.93126570E-02  9.25331140E-01
  8.02958457E-02  9.26640102E-01
  8.12791328E-02  9.27964889E-01
  8.22625182E-02  9.29241138E-01
  8.32460019E-02  9.30532360E-01
  8.42295840E-02  9.31777522E-01
  8.52132645E-02  9.33036867E-01
  8.61970433E-02  9.34252456E-01
  8.71809206E-02  9.35481494E-01
  8.81648962E-02  9.36668921E-01
  8.91489702E-02  9.37869113E-01
  9.01331426E-02  9.39029695E-01
  9.11174135E-02  9.40202406E-01
  9.21017828E-02  9.41337376E-01
  9.30862505E-02  9.42483879E-01
  9.40708167E-02  9.43594389E-01
  9.50554813E-02  9.44715877E-01
  9.60402444E-02  9.45803010E-01
  9.70251060E-02  9.46900599E-01
  9.80100661E-02  9.47965371E-01
  9.89951247E-02  9.49040109E-01
  9.99802818E-02  9.50083473E-01
  1.00965537E-01  9.51136345E-01
  1.01950892E-01  9.52159201E-01
  1.02936344E-01  9.53191133E-01
  1.03921895E-01  9.54194327E-01
  1.04907545E-01  9.55206191E-01
  1.05893294E-01  9.56190522E-01
  1.06879141E-01  9.57183140E-01
  1.07865086E-01  9.58149361E-01
  1.08851130E-01  9.59123509E-01
  1.09837273E-01  9.60072334E-01
  1.10823514E-01  9.61028745E-01
  1.11809854E-01  9.61960848E-01
  1.12796293E-01  9.62900214E-01
  1.13782830E-01  9.63816234E-01
  1.14769466E-01  9.64739212E-01
  1.15756201E-01  9.65639754E-01
  1.16743034E-01  9.66546966E-01
  1.17729966E-01  9.67432604E-01
  1.18716997E-01  9.68324639E-01
  1.19704126E-01  9.69195919E-01
  1.20691354E-01  9.70073336E-01
  1.21678681E-01  9.70930776E-01
  1.22666107E-01  9.71794108E-01
  1.23653631E-01  9.72638200E-01
  1.24641254E-01  9.73487951E-01
  1.25628976E-01  9.74319166E-01
  1.26616796E-01  9.75155816E-01
  1.27604716E-01  9.75974600E-01
  1.28592734E-01  9.76798607E-01
  1.29580851E-01  9.77605386E-01
  1.30569067E-01  9.78417187E-01
  1.31557381E-01  9.79212367E-01
  1.32545795E-01  9.80012377E-01
  1.33534307E-01  9.80796346E-01
  1.34522918E-01  9.81584962E-01
  1.35511629E-01  9.82358091E-01
  1.36500437E-01  9.83135691E-01
  1.37489345E-01  9.83898333E-01
  1.38478352E-01  9.84665280E-01
  1.39467458E-01  9.85417774E-01
  1.40456662E-01  9.86174413E-01
  1.41445966E-01  9.86917083E-01
  1.42435368E-01  9.87663745E-01
  1.43424869E-01  9.88396901E-01
  1.44414470E-01  9.89133904E-01
  1.45404169E-01  9.89857842E-01
  1.46393967E-01  9.90585488E-01
  1.47383864E-01  9.91300495E-01
  1.48373861E-01  9.92019075E-01
  1.49363956E-01  9.92725422E-01
  1.50354150E-01  9.93435215E-01
  1.51344443E-01  9.94133165E-01
  1.52334836E-01  9.94834438E-01
  1.53325327E-01  9.95524243E-01
  1.54315917E-01  9.96217253E-01
  1.55306607E-01  9.96899154E-01
  1.56297395E-01  9.97584147E-01
  1.57288283E-01  9.98258377E-01
  1.58279270E-01  9.98935589E-01
  1.59270355E-01  9.99602370E-01
  1.60261540E-01  1.00027203E+00
  1.61252824E-01  1.00093158E+00
  1.62244207E-01  1.00159390E+00
  1.63235690E-01  1.00224642E+00
  1.64227271E-01  1.00290163E+00
  1.65218952E-01  1.00354732E+00
  1.66210732E-01  1.00419560E+00
  1.67202611E-01  1.00483466E+00
  1.68194589E-01  1.00547621E+00
  1.69186666E-01  1.00610882E+00
  1.70178843E-01  1.00674384E+00
  1.71171119E-01  1.00737017E+00
  1.72163494E-01  1.00799883E+00
  1.73155968E-01  1.00861906E+00
  1.74148542E-01  1.00924154E+00
  1.75141214E-01  1.00985583E+00
  1.76133986E-01  1.01047229E+00
  1.77126858E-01  1.01108081E+00
  1.78119828E-01  1.01169142E+00
  1.79112898E-01  1.01229431E+00
  1.80106068E-01  1.01289923E+00
  1.81099336E-01  1.01349665E+00
  1.82092704E-01  1.01409602E+00
  1.83086172E-01  1.01468811E+00
  1.84079738E-01  1.01528209E+00
  1.85073404E-01  1.01586899E+00
  1.86067169E-01  1.01645771E+00
  1.87061034E-01  1.01703955E+00
  1.88054998E-01  1.01762315E+00
  1.89049062E-01  1.01820007E+00
  1.90043225E-01  1.01877868E+00
  1.91037487E-01  1.01935079E+00
  1.92031849E-01  1.01992455E+00
  1.93026310E-01  1.02049198E+00
  1.94020871E-01  1.02106100E+00
  1.95015531E-01  1.02162387E+00
  1.96010291E-01  1.02218828E+00
  1.97005150E-01  1.02274670E+00
