 ######################################################################
 #Data for Case=          17
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000001E-01     101     10000  3.08999991E+00  3.09409750E+00  2.10551760E+00  1.64025538E-02  1.33157638E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  0.00000000E+00  2.32055777E+01
  3.56721586E-04  1.46766545E+00
  7.50959909E-04  1.46776429E+00
  1.18666064E-03  1.46787036E+00
  1.66818442E-03  1.46798375E+00
  2.20035049E-03  1.46810436E+00
  2.78848496E-03  1.46823192E+00
  3.43847408E-03  1.46836588E+00
  4.15682314E-03  1.46850538E+00
  4.95072164E-03  1.46864909E+00
  5.82811518E-03  1.46879514E+00
  6.79778500E-03  1.46894095E+00
  7.86943588E-03  1.46908305E+00
  9.05379328E-03  1.46921682E+00
  1.03627106E-02  1.46933622E+00
  1.18092880E-02  1.46943347E+00
  1.34080033E-02  1.46949855E+00
  1.51748569E-02  1.46951871E+00
  1.71275322E-02  1.46947780E+00
  1.92855721E-02  1.46935551E+00
  2.16705750E-02  1.46912648E+00
  2.43064109E-02  1.46875901E+00
  2.72194601E-02  1.46821438E+00
  3.04388773E-02  1.46744447E+00
  3.39968836E-02  1.46639251E+00
  3.79290887E-02  1.46498827E+00
  4.22748474E-02  1.46315438E+00
  4.70776536E-02  1.46079475E+00
  5.23855753E-02  1.45781615E+00
  5.82517360E-02  1.45409827E+00
  6.47348463E-02  1.44954578E+00
  7.18997912E-02  1.44401064E+00
  7.98182799E-02  1.43738498E+00
  8.85695634E-02  1.42941642E+00
  9.82412275E-02  1.41980995E+00
  1.08930069E-01  1.40779591E+00
  1.20743066E-01  1.39189766E+00
  1.33798447E-01  1.36988823E+00
  1.48226875E-01  1.34551267E+00
  1.64172753E-01  1.32460176E+00
  1.81795674E-01  1.30756503E+00
  2.01272014E-01  1.29411828E+00
  2.22796698E-01  1.28371012E+00
  2.46585154E-01  1.27555525E+00
  2.72875463E-01  1.26906355E+00
  3.01930748E-01  1.26369632E+00
  3.34041804E-01  1.25909983E+00
  3.69530009E-01  1.25498361E+00
  4.08750541E-01  1.25115672E+00
  4.52095933E-01  1.24746280E+00
  5.00000000E-01  1.24379592E+00
  5.47904067E-01  1.24014716E+00
  5.91249459E-01  1.23372614E+00
  6.30469991E-01  1.22568717E+00
  6.65958196E-01  1.21547525E+00
  6.98069252E-01  1.20313666E+00
  7.27124537E-01  1.18842245E+00
  7.53414846E-01  1.17115339E+00
  7.77203302E-01  1.15107316E+00
  7.98727986E-01  1.12801648E+00
  8.18204326E-01  1.10180494E+00
  8.35827247E-01  1.07249725E+00
  8.51773125E-01  1.04016621E+00
  8.66201553E-01  1.00525112E+00
  8.79256934E-01  9.68123278E-01
  8.91069931E-01  9.29516494E-01
  9.01758773E-01  8.89890937E-01
  9.11430437E-01  8.49971325E-01
  9.20181720E-01  8.10019612E-01
  9.28100209E-01  7.70509893E-01
  9.35265154E-01  7.31385468E-01
  9.41748264E-01  6.92840068E-01
  9.47614425E-01  6.54569869E-01
  9.52922346E-01  6.16618383E-01
  9.57725153E-01  5.78620375E-01
  9.62070911E-01  5.40669199E-01
  9.66003116E-01  5.02553131E-01
  9.69561123E-01  4.64572120E-01
  9.72780540E-01  4.26789929E-01
  9.75693589E-01  3.89706746E-01
  9.78329425E-01  3.53597720E-01
  9.80714428E-01  3.18979994E-01
  9.82872468E-01  2.86128390E-01
  9.84825143E-01  2.55362480E-01
  9.86591997E-01  2.26787888E-01
  9.88190712E-01  2.00474012E-01
  9.89637289E-01  1.76361650E-01
  9.90946207E-01  1.54364576E-01
  9.92130564E-01  1.34345554E-01
  9.93202215E-01  1.16163478E-01
  9.94171885E-01  9.96671257E-02
  9.95049278E-01  8.47130151E-02
  9.95843177E-01  7.11629199E-02
  9.96561526E-01  5.88894046E-02
  9.97211515E-01  4.77743179E-02
  9.97799650E-01  3.77099019E-02
  9.98331816E-01  2.85976972E-02
  9.98813339E-01  2.03482692E-02
  9.99249040E-01  1.28803517E-02
  9.99643278E-01  6.12024264E-03
  1.00000000E+00  0.00000000E+00
