 ######################################################################
 #Data for Case=           2
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000000E-15     101      1301  1.28400002E+01  1.52117891E+01  7.68065518E+00  3.25950992E-01  2.30034884E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  1.00000000E-02  3.70875577E-01
  2.00000000E-02  3.80819068E-01
  3.00000000E-02  4.33627022E-01
  4.00000000E-02  4.41757247E-01
  5.00000000E-02  4.59949342E-01
  6.00000000E-02  4.67024003E-01
  7.00000000E-02  4.77225108E-01
  8.00000000E-02  4.83040842E-01
  9.00000000E-02  4.90171039E-01
  1.00000000E-01  4.95026827E-01
  1.10000000E-01  5.00578207E-01
  1.20000000E-01  5.04748492E-01
  1.30000000E-01  5.09343284E-01
  1.40000000E-01  5.13019888E-01
  1.50000000E-01  5.16978092E-01
  1.60000000E-01  5.20291406E-01
  1.70000000E-01  5.23801077E-01
  1.80000000E-01  5.26841598E-01
  1.90000000E-01  5.30023276E-01
  2.00000000E-01  5.32855684E-01
  2.10000000E-01  5.35791386E-01
  2.20000000E-01  5.38463204E-01
  2.30000000E-01  5.41211223E-01
  2.40000000E-01  5.43758192E-01
  2.50000000E-01  5.46361337E-01
  2.60000000E-01  5.48810831E-01
  2.70000000E-01  5.51301329E-01
  2.80000000E-01  5.53674585E-01
  2.90000000E-01  5.56077141E-01
  3.00000000E-01  5.58390754E-01
  3.10000000E-01  5.60724524E-01
  3.20000000E-01  5.62991467E-01
  3.30000000E-01  5.65271387E-01
  3.40000000E-01  5.67501734E-01
  3.50000000E-01  5.69739424E-01
  3.60000000E-01  5.71940873E-01
  3.70000000E-01  5.74145283E-01
  3.80000000E-01  5.76323557E-01
  3.90000000E-01  5.78501447E-01
  4.00000000E-01  5.80660620E-01
  4.10000000E-01  5.82816927E-01
  4.20000000E-01  5.84959708E-01
  4.30000000E-01  5.87097865E-01
  4.40000000E-01  5.89225865E-01
  4.50000000E-01  5.91348075E-01
  4.60000000E-01  5.93462069E-01
  4.70000000E-01  5.95569574E-01
  4.80000000E-01  5.97669769E-01
  4.90000000E-01  5.99763114E-01
  5.00000000E-01  6.01849411E-01
  5.10000000E-01  6.03928710E-01
  5.20000000E-01  6.06000977E-01
  5.30000000E-01  6.08066176E-01
  5.40000000E-01  6.10124503E-01
  5.50000000E-01  6.12175645E-01
  5.60000000E-01  6.14220590E-01
  5.70000000E-01  6.16258056E-01
  5.80000000E-01  6.18290873E-01
  5.90000000E-01  6.20315623E-01
  6.00000000E-01  6.22338469E-01
  6.10000000E-01  6.24352252E-01
  6.20000000E-01  6.26368383E-01
  6.30000000E-01  6.28373939E-01
  6.40000000E-01  6.30387905E-01
  6.50000000E-01  6.32389159E-01
  6.60000000E-01  6.34407008E-01
  6.70000000E-01  6.36409272E-01
  6.80000000E-01  6.38438804E-01
  6.90000000E-01  6.40449010E-01
  7.00000000E-01  6.42500102E-01
  7.10000000E-01  6.44527092E-01
  7.20000000E-01  6.46612154E-01
  7.30000000E-01  6.48667085E-01
  7.40000000E-01  6.50801717E-01
  7.50000000E-01  6.52898628E-01
  7.60000000E-01  6.55102594E-01
  7.70000000E-01  6.57259249E-01
  7.80000000E-01  6.59557952E-01
  7.90000000E-01  6.61797123E-01
  8.00000000E-01  6.64223909E-01
  8.10000000E-01  6.66575383E-01
  8.20000000E-01  6.69175252E-01
  8.30000000E-01  6.71679110E-01
  8.40000000E-01  6.74514978E-01
  8.50000000E-01  6.77227231E-01
  8.60000000E-01  6.80391113E-01
  8.70000000E-01  6.83394047E-01
  8.80000000E-01  6.87028565E-01
  8.90000000E-01  6.90451424E-01
  9.00000000E-01  6.94795329E-01
  9.10000000E-01  6.98860395E-01
  9.20000000E-01  7.04358064E-01
  9.30000000E-01  7.09499192E-01
  9.40000000E-01  7.17115881E-01
  9.50000000E-01  7.24352539E-01
  9.60000000E-01  7.36771858E-01
  9.70000000E-01  7.49344767E-01
  9.80000000E-01  7.78545110E-01
  9.90000000E-01  8.15281234E-01
  1.00000000E+00  1.00000000E+00
