 ######################################################################
 #Data for Case=          10
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000000E-15     101       753  1.28400002E+01  1.66997345E+01  1.56123298E+01  5.15210419E-01  2.30950681E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  1.00000000E-02  9.26601277E-01
  2.00000000E-02  9.33355051E-01
  3.00000000E-02  1.00598862E+00
  4.00000000E-02  1.01816026E+00
  5.00000000E-02  1.04431798E+00
  6.00000000E-02  1.05527699E+00
  7.00000000E-02  1.07052066E+00
  8.00000000E-02  1.07947750E+00
  9.00000000E-02  1.09027800E+00
  1.00000000E-01  1.09768926E+00
  1.10000000E-01  1.10609530E+00
  1.20000000E-01  1.11240317E+00
  1.30000000E-01  1.11931830E+00
  1.40000000E-01  1.12482926E+00
  1.50000000E-01  1.13073683E+00
  1.60000000E-01  1.13565726E+00
  1.70000000E-01  1.14084692E+00
  1.80000000E-01  1.14531893E+00
  1.90000000E-01  1.14997748E+00
  2.00000000E-01  1.15410186E+00
  2.10000000E-01  1.15835622E+00
  2.20000000E-01  1.16220635E+00
  2.30000000E-01  1.16614619E+00
  2.40000000E-01  1.16977662E+00
  2.50000000E-01  1.17346717E+00
  2.60000000E-01  1.17691911E+00
  2.70000000E-01  1.18040887E+00
  2.80000000E-01  1.18371371E+00
  2.90000000E-01  1.18703924E+00
  3.00000000E-01  1.19022098E+00
  3.10000000E-01  1.19341006E+00
  3.20000000E-01  1.19648694E+00
  3.30000000E-01  1.19956066E+00
  3.40000000E-01  1.20254633E+00
  3.50000000E-01  1.20552057E+00
  3.60000000E-01  1.20842494E+00
  3.70000000E-01  1.21131139E+00
  3.80000000E-01  1.21414133E+00
  3.90000000E-01  1.21694827E+00
  4.00000000E-01  1.21970814E+00
  4.10000000E-01  1.22244107E+00
  4.20000000E-01  1.22513313E+00
  4.30000000E-01  1.22779528E+00
  4.40000000E-01  1.23042019E+00
  4.50000000E-01  1.23301293E+00
  4.60000000E-01  1.23557010E+00
  4.70000000E-01  1.23809338E+00
  4.80000000E-01  1.24058134E+00
  4.90000000E-01  1.24303406E+00
  5.00000000E-01  1.24545082E+00
  5.10000000E-01  1.24783116E+00
  5.20000000E-01  1.25017451E+00
  5.30000000E-01  1.25248026E+00
  5.40000000E-01  1.25474804E+00
  5.50000000E-01  1.25697687E+00
  5.60000000E-01  1.25916715E+00
  5.70000000E-01  1.26131679E+00
  5.80000000E-01  1.26342802E+00
  5.90000000E-01  1.26549646E+00
  6.00000000E-01  1.26752751E+00
  6.10000000E-01  1.26951297E+00
  6.20000000E-01  1.27146308E+00
  6.30000000E-01  1.27336408E+00
  6.40000000E-01  1.27523273E+00
  6.50000000E-01  1.27704785E+00
  6.60000000E-01  1.27883452E+00
  6.70000000E-01  1.28056220E+00
  6.80000000E-01  1.28226601E+00
  6.90000000E-01  1.28390411E+00
  7.00000000E-01  1.28552320E+00
  7.10000000E-01  1.28706834E+00
  7.20000000E-01  1.28859904E+00
  7.30000000E-01  1.29004553E+00
  7.40000000E-01  1.29148084E+00
  7.50000000E-01  1.29281892E+00
  7.60000000E-01  1.29414595E+00
  7.70000000E-01  1.29535848E+00
  7.80000000E-01  1.29655323E+00
  7.90000000E-01  1.29760863E+00
  8.00000000E-01  1.29862365E+00
  8.10000000E-01  1.29945683E+00
  8.20000000E-01  1.30018042E+00
  8.30000000E-01  1.30060236E+00
  8.40000000E-01  1.30035431E+00
  8.50000000E-01  1.29951212E+00
  8.60000000E-01  1.29841867E+00
  8.70000000E-01  1.29712092E+00
  8.80000000E-01  1.29536721E+00
  8.90000000E-01  1.29350847E+00
  9.00000000E-01  1.29095470E+00
  9.10000000E-01  1.28835295E+00
  9.20000000E-01  1.28461770E+00
  9.30000000E-01  1.28087875E+00
  9.40000000E-01  1.27507168E+00
  9.50000000E-01  1.26922756E+00
  9.60000000E-01  1.25880643E+00
  9.70000000E-01  1.24771256E+00
  9.80000000E-01  1.22114576E+00
  9.90000000E-01  1.18619247E+00
  1.00000000E+00  1.00000000E+00
