 ######################################################################
 #Data for Case=          11
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000000E-15     101      2779  1.28400002E+01  2.13036300E+01  2.02266583E+01  6.01163076E-01  3.65517377E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  1.00000000E-02  1.26156089E+00
  2.00000000E-02  1.26767483E+00
  3.00000000E-02  1.34932189E+00
  4.00000000E-02  1.36354122E+00
  5.00000000E-02  1.39352272E+00
  6.00000000E-02  1.40629591E+00
  7.00000000E-02  1.42391823E+00
  8.00000000E-02  1.43430971E+00
  9.00000000E-02  1.44680773E+00
  1.00000000E-01  1.45538003E+00
  1.10000000E-01  1.46509163E+00
  1.20000000E-01  1.47236944E+00
  1.30000000E-01  1.48034010E+00
  1.40000000E-01  1.48668273E+00
  1.50000000E-01  1.49347467E+00
  1.60000000E-01  1.49912297E+00
  1.70000000E-01  1.50507332E+00
  1.80000000E-01  1.51019275E+00
  1.90000000E-01  1.51551874E+00
  2.00000000E-01  1.52022634E+00
  2.10000000E-01  1.52507531E+00
  2.20000000E-01  1.52945605E+00
  2.30000000E-01  1.53393183E+00
  2.40000000E-01  1.53804864E+00
  2.50000000E-01  1.54222648E+00
  2.60000000E-01  1.54612666E+00
  2.70000000E-01  1.55006222E+00
  2.80000000E-01  1.55378156E+00
  2.90000000E-01  1.55751657E+00
  3.00000000E-01  1.56108215E+00
  3.10000000E-01  1.56464801E+00
  3.20000000E-01  1.56808016E+00
  3.30000000E-01  1.57150044E+00
  3.40000000E-01  1.57481406E+00
  3.50000000E-01  1.57810617E+00
  3.60000000E-01  1.58131178E+00
  3.70000000E-01  1.58448820E+00
  3.80000000E-01  1.58759270E+00
  3.90000000E-01  1.59066190E+00
  4.00000000E-01  1.59366917E+00
  4.10000000E-01  1.59663629E+00
  4.20000000E-01  1.59954779E+00
  4.30000000E-01  1.60241523E+00
  4.40000000E-01  1.60523039E+00
  4.50000000E-01  1.60799835E+00
  4.60000000E-01  1.61071505E+00
  4.70000000E-01  1.61338189E+00
  4.80000000E-01  1.61599686E+00
  4.90000000E-01  1.61855955E+00
  5.00000000E-01  1.62106865E+00
  5.10000000E-01  1.62352309E+00
  5.20000000E-01  1.62592161E+00
  5.30000000E-01  1.62826287E+00
  5.40000000E-01  1.63054568E+00
  5.50000000E-01  1.63276818E+00
  5.60000000E-01  1.63492977E+00
  5.70000000E-01  1.63702728E+00
  5.80000000E-01  1.63906161E+00
  5.90000000E-01  1.64102710E+00
  6.00000000E-01  1.64292725E+00
  6.10000000E-01  1.64475244E+00
  6.20000000E-01  1.64650986E+00
  6.30000000E-01  1.64818438E+00
  6.40000000E-01  1.64978764E+00
  6.50000000E-01  1.65129744E+00
  6.60000000E-01  1.65272992E+00
  6.70000000E-01  1.65405421E+00
  6.80000000E-01  1.65528946E+00
  6.90000000E-01  1.65639408E+00
  7.00000000E-01  1.65738458E+00
  7.10000000E-01  1.65820285E+00
  7.20000000E-01  1.65883923E+00
  7.30000000E-01  1.65916119E+00
  7.40000000E-01  1.65874203E+00
  7.50000000E-01  1.65794839E+00
  7.60000000E-01  1.65696511E+00
  7.70000000E-01  1.65581363E+00
  7.80000000E-01  1.65443721E+00
  7.90000000E-01  1.65294899E+00
  8.00000000E-01  1.65119861E+00
  8.10000000E-01  1.64936864E+00
  8.20000000E-01  1.64721378E+00
  8.30000000E-01  1.64500926E+00
  8.40000000E-01  1.64238069E+00
  8.50000000E-01  1.63973769E+00
  8.60000000E-01  1.63651664E+00
  8.70000000E-01  1.63332877E+00
  8.80000000E-01  1.62931836E+00
  8.90000000E-01  1.62541183E+00
  9.00000000E-01  1.62027449E+00
  9.10000000E-01  1.61535352E+00
  9.20000000E-01  1.60846250E+00
  9.30000000E-01  1.60197442E+00
  9.40000000E-01  1.59199492E+00
  9.50000000E-01  1.58271396E+00
  9.60000000E-01  1.56602766E+00
  9.70000000E-01  1.55022953E+00
  9.80000000E-01  1.51071690E+00
  9.90000000E-01  1.46637974E+00
  1.00000000E+00  1.00000000E+00
