 ######################################################################
 #Data for Case=          15
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000000E-15     101     10000  0.00000000E+00  2.52388696E+01  2.39200521E+01  6.70167866E-01  6.46618163E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  1.00000000E-02  7.97601478E-01
  2.00000000E-02  8.00555588E-01
  3.00000000E-02  8.48086882E-01
  4.00000000E-02  8.56581028E-01
  5.00000000E-02  8.74391051E-01
  6.00000000E-02  8.82047440E-01
  7.00000000E-02  8.92600593E-01
  8.00000000E-02  8.98830967E-01
  9.00000000E-02  9.06324727E-01
  1.00000000E-01  9.11456613E-01
  1.10000000E-01  9.17263621E-01
  1.20000000E-01  9.21601638E-01
  1.30000000E-01  9.26338602E-01
  1.40000000E-01  9.30090532E-01
  1.50000000E-01  9.34089078E-01
  1.60000000E-01  9.37393840E-01
  1.70000000E-01  9.40852664E-01
  1.80000000E-01  9.43805669E-01
  1.90000000E-01  9.46852984E-01
  2.00000000E-01  9.49522112E-01
  2.10000000E-01  9.52245482E-01
  2.20000000E-01  9.54680769E-01
  2.30000000E-01  9.57142850E-01
  2.40000000E-01  9.59382412E-01
  2.50000000E-01  9.61629795E-01
  2.60000000E-01  9.63703481E-01
  2.70000000E-01  9.65771863E-01
  2.80000000E-01  9.67703493E-01
  2.90000000E-01  9.69620767E-01
  3.00000000E-01  9.71429493E-01
  3.10000000E-01  9.73217636E-01
  3.20000000E-01  9.74918785E-01
  3.30000000E-01  9.76595050E-01
  3.40000000E-01  9.78200669E-01
  3.50000000E-01  9.79778386E-01
  3.60000000E-01  9.81297624E-01
  3.70000000E-01  9.82786758E-01
  3.80000000E-01  9.84226162E-01
  3.90000000E-01  9.85633725E-01
  4.00000000E-01  9.86997469E-01
  4.10000000E-01  9.88327843E-01
  4.20000000E-01  9.89617946E-01
  4.30000000E-01  9.90873166E-01
  4.40000000E-01  9.92089744E-01
  4.50000000E-01  9.93269875E-01
  4.60000000E-01  9.94411614E-01
  4.70000000E-01  9.95515544E-01
  4.80000000E-01  9.96581072E-01
  4.90000000E-01  9.97609307E-01
  5.00000000E-01  9.98603802E-01
  5.10000000E-01  9.99579340E-01
  5.20000000E-01  1.00000000E+00
  5.30000000E-01  9.99678644E-01
  5.40000000E-01  9.99384296E-01
  5.50000000E-01  9.99101628E-01
  5.60000000E-01  9.98816675E-01
  5.70000000E-01  9.98521144E-01
  5.80000000E-01  9.98209402E-01
  5.90000000E-01  9.97880582E-01
  6.00000000E-01  9.97535386E-01
  6.10000000E-01  9.97177700E-01
  6.20000000E-01  9.96806727E-01
  6.30000000E-01  9.96422881E-01
  6.40000000E-01  9.96017136E-01
  6.50000000E-01  9.95585161E-01
  6.60000000E-01  9.95108493E-01
  6.70000000E-01  9.94579143E-01
  6.80000000E-01  9.93963892E-01
  6.90000000E-01  9.93250008E-01
  7.00000000E-01  9.92378199E-01
  7.10000000E-01  9.91334092E-01
  7.20000000E-01  9.90018802E-01
  7.30000000E-01  9.88436200E-01
  7.40000000E-01  9.86437174E-01
  7.50000000E-01  9.84090023E-01
  7.60000000E-01  9.81183772E-01
  7.70000000E-01  9.77912266E-01
  7.80000000E-01  9.73973264E-01
  7.90000000E-01  9.69737437E-01
  8.00000000E-01  9.64754074E-01
  8.10000000E-01  9.59605454E-01
  8.20000000E-01  9.53615563E-01
  8.30000000E-01  9.47618262E-01
  8.40000000E-01  9.40627714E-01
  8.50000000E-01  9.33804520E-01
  8.60000000E-01  9.25758668E-01
  8.70000000E-01  9.18102776E-01
  8.80000000E-01  9.08920021E-01
  8.90000000E-01  9.00445903E-01
  9.00000000E-01  8.90052846E-01
  9.10000000E-01  8.80812024E-01
  9.20000000E-01  8.69069860E-01
  9.30000000E-01  8.59047101E-01
  9.40000000E-01  8.45405364E-01
  9.50000000E-01  8.34204074E-01
  9.60000000E-01  8.16553352E-01
  9.70000000E-01  8.02428363E-01
  9.80000000E-01  7.70284692E-01
  9.90000000E-01  7.42530931E-01
  1.00000000E+00  1.00000000E+00
