 ######################################################################
 #Data for Case=          16
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000000E-15     101       268  1.79999995E+00  2.00740851E+00  1.66028807E+00  4.18165761E-02  1.12478324E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  0.00000000E+00  1.60030830E+01
  1.00000000E-02  1.10560670E+00
  2.00000000E-02  1.12437659E+00
  3.00000000E-02  1.14138664E+00
  4.00000000E-02  1.15628068E+00
  5.00000000E-02  1.16949054E+00
  6.00000000E-02  1.18021056E+00
  7.00000000E-02  1.18944996E+00
  8.00000000E-02  1.19632109E+00
  9.00000000E-02  1.20191810E+00
  1.00000000E-01  1.20563219E+00
  1.10000000E-01  1.20811118E+00
  1.20000000E-01  1.20907241E+00
  1.30000000E-01  1.20848972E+00
  1.40000000E-01  1.20653606E+00
  1.50000000E-01  1.20363380E+00
  1.60000000E-01  1.20041422E+00
  1.70000000E-01  1.19652294E+00
  1.80000000E-01  1.19274625E+00
  1.90000000E-01  1.18841419E+00
  2.00000000E-01  1.18437141E+00
  2.10000000E-01  1.17984967E+00
  2.20000000E-01  1.17567018E+00
  2.30000000E-01  1.17107358E+00
  2.40000000E-01  1.16681624E+00
  2.50000000E-01  1.16219440E+00
  2.60000000E-01  1.15788460E+00
  2.70000000E-01  1.15325529E+00
  2.80000000E-01  1.14890183E+00
  2.90000000E-01  1.14426719E+00
  3.00000000E-01  1.13987061E+00
  3.10000000E-01  1.13522538E+00
  3.20000000E-01  1.13078231E+00
  3.30000000E-01  1.12611816E+00
  3.40000000E-01  1.12162372E+00
  3.50000000E-01  1.11693150E+00
  3.60000000E-01  1.11238067E+00
  3.70000000E-01  1.10765172E+00
  3.80000000E-01  1.10304009E+00
  3.90000000E-01  1.09826688E+00
  4.00000000E-01  1.09359109E+00
  4.10000000E-01  1.08876758E+00
  4.20000000E-01  1.08402548E+00
  4.30000000E-01  1.07914722E+00
  4.40000000E-01  1.07433785E+00
  4.50000000E-01  1.06940194E+00
  4.60000000E-01  1.06452539E+00
  4.70000000E-01  1.05953029E+00
  4.80000000E-01  1.05458737E+00
  4.90000000E-01  1.04953260E+00
  5.00000000E-01  1.04452446E+00
  5.10000000E-01  1.04059709E+00
  5.20000000E-01  1.03626033E+00
  5.30000000E-01  1.03197006E+00
  5.40000000E-01  1.02759236E+00
  5.50000000E-01  1.02315533E+00
  5.60000000E-01  1.01866475E+00
  5.70000000E-01  1.01410166E+00
  5.80000000E-01  1.00948720E+00
  5.90000000E-01  1.00479619E+00
  6.00000000E-01  1.00005014E+00
  6.10000000E-01  9.95224082E-01
  6.20000000E-01  9.90335281E-01
  6.30000000E-01  9.85362682E-01
  6.40000000E-01  9.80314842E-01
  6.50000000E-01  9.75178875E-01
  6.60000000E-01  9.69949225E-01
  6.70000000E-01  9.64626336E-01
  6.80000000E-01  9.59183945E-01
  6.90000000E-01  9.53642024E-01
  7.00000000E-01  9.47945553E-01
  7.10000000E-01  9.42141464E-01
  7.20000000E-01  9.36136022E-01
  7.30000000E-01  9.30012138E-01
  7.40000000E-01  9.23624738E-01
  7.50000000E-01  9.17103888E-01
  7.60000000E-01  9.10236680E-01
  7.70000000E-01  9.03214558E-01
  7.80000000E-01  8.95734434E-01
  7.90000000E-01  8.88067813E-01
  8.00000000E-01  8.79789929E-01
  8.10000000E-01  8.71277708E-01
  8.20000000E-01  8.61938368E-01
  8.30000000E-01  8.52289847E-01
  8.40000000E-01  8.41499934E-01
  8.50000000E-01  8.30279173E-01
  8.60000000E-01  8.17439932E-01
  8.70000000E-01  8.03962538E-01
  8.80000000E-01  7.88103711E-01
  8.90000000E-01  7.71232189E-01
  9.00000000E-01  7.50677436E-01
  9.10000000E-01  7.28381850E-01
  9.20000000E-01  6.99996902E-01
  9.30000000E-01  6.68323795E-01
  9.40000000E-01  6.25683921E-01
  9.50000000E-01  5.76154637E-01
  9.60000000E-01  5.05143785E-01
  9.70000000E-01  4.19103508E-01
  9.80000000E-01  2.96004729E-01
  9.90000000E-01  1.55245916E-01
  1.00000000E+00  0.00000000E+00
