#    y/2h      U/Ub
# 23
 .2068E-02 .2954E+00
 .1080E-01 .3766E+00
 .2711E-01 .4184E+00
 .4389E-01 .4449E+00
 .9099E-01 .4982E+00
 .1356E+00 .5276E+00
 .1776E+00 .5452E+00
 .2302E+00 .5632E+00
 .2750E+00 .5786E+00
 .3173E+00 .5900E+00
 .3605E+00 .5974E+00
 .4090E+00 .6073E+00
 .4536E+00 .6176E+00
 .5005E+00 .6271E+00
 .5453E+00 .6315E+00
 .5921E+00 .6418E+00
 .6383E+00 .6550E+00
 .6781E+00 .6616E+00
 .7256E+00 .6789E+00
 .7707E+00 .6988E+00
 .8134E+00 .7160E+00
 .8663E+00 .7377E+00
 .9097E+00 .7667E+00
