 ######################################################################
 #Data for Case=           3
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001      2242  1.28400002E+01  1.30459351E+01  7.98839294E+00  3.81034099E-01  2.17050659E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  9.75257087E-04  4.94277020E-02
  1.95061171E-03  9.75744060E-02
  2.92606386E-03  1.45709794E-01
  3.90161357E-03  1.83014568E-01
  4.87726084E-03  2.21366607E-01
  5.85300568E-03  2.45216540E-01
  6.82884809E-03  2.71662149E-01
  7.80478810E-03  2.87697739E-01
  8.78082571E-03  3.06075032E-01
  9.75696092E-03  3.17727745E-01
  1.07331938E-02  3.31077202E-01
  1.17095242E-02  3.40038553E-01
  1.26859523E-02  3.50184259E-01
  1.36624781E-02  3.57361565E-01
  1.46391015E-02  3.65375411E-01
  1.56158225E-02  3.71301809E-01
  1.65926413E-02  3.77834045E-01
  1.75695577E-02  3.82845470E-01
  1.85465718E-02  3.88307620E-01
  1.95236837E-02  3.92627194E-01
  2.05008932E-02  3.97290659E-01
  2.14782005E-02  4.01072791E-01
  2.24556055E-02  4.05123299E-01
  2.34331083E-02  4.08478457E-01
  2.44107088E-02  4.12047275E-01
  2.53884071E-02  4.15056708E-01
  2.63662031E-02  4.18239244E-01
  2.73440970E-02  4.20964126E-01
  2.83220886E-02  4.23831429E-01
  2.93001780E-02  4.26318759E-01
  3.02783653E-02  4.28924872E-01
  3.12566504E-02  4.31211400E-01
  3.22350333E-02  4.33598199E-01
  3.32135140E-02  4.35713111E-01
  3.41920926E-02  4.37913581E-01
  3.51707691E-02  4.39880373E-01
  3.61495434E-02  4.41920878E-01
  3.71284157E-02  4.43758704E-01
  3.81073858E-02  4.45660589E-01
  3.90864538E-02  4.47385234E-01
  4.00656197E-02  4.49165986E-01
  4.10448836E-02  4.50790591E-01
  4.20242454E-02  4.52464688E-01
  4.30037051E-02  4.54000289E-01
  4.39832628E-02  4.55579833E-01
  4.49629184E-02  4.57035783E-01
  4.59426720E-02  4.58530976E-01
  4.69225236E-02  4.59915256E-01
  4.79024731E-02  4.61334773E-01
  4.88825207E-02  4.62654243E-01
  4.98626663E-02  4.64005512E-01
  5.08429099E-02  4.65266108E-01
  5.18232515E-02  4.66555531E-01
  5.28036912E-02  4.67762421E-01
  5.37842289E-02  4.68995555E-01
  5.47648647E-02  4.70153262E-01
  5.57455986E-02  4.71334953E-01
  5.67264305E-02  4.72447458E-01
  5.77073605E-02  4.73581961E-01
  5.86883886E-02  4.74652783E-01
  5.96695148E-02  4.75743850E-01
  6.06507392E-02  4.76776117E-01
  6.16320616E-02  4.77827073E-01
  6.26134822E-02  4.78823574E-01
  6.35950010E-02  4.79837377E-01
  6.45766179E-02  4.80800612E-01
  6.55583330E-02  4.81779909E-01
  6.65401462E-02  4.82712125E-01
  6.75220576E-02  4.83659290E-01
  6.85040673E-02  4.84562516E-01
  6.94861751E-02  4.85479686E-01
  7.04683812E-02  4.86355759E-01
  7.14506854E-02  4.87244867E-01
  7.24330880E-02  4.88095457E-01
  7.34155887E-02  4.88958256E-01
  7.43981877E-02  4.89784883E-01
  7.53808850E-02  4.90622969E-01
  7.63636806E-02  4.91427022E-01
  7.73465744E-02  4.92241849E-01
  7.83295665E-02  4.93024602E-01
  7.93126570E-02  4.93817503E-01
  8.02958457E-02  4.94580126E-01
  8.12791328E-02  4.95352322E-01
  8.22625182E-02  4.96095894E-01
  8.32460019E-02  4.96848507E-01
  8.42295840E-02  4.97574022E-01
  8.52132645E-02  4.98308090E-01
  8.61970433E-02  4.99016468E-01
  8.71809206E-02  4.99732948E-01
  8.81648962E-02  5.00425042E-01
  8.91489702E-02  5.01124821E-01
  9.01331426E-02  5.01801424E-01
  9.11174135E-02  5.02485324E-01
  9.21017828E-02  5.03147174E-01
  9.30862505E-02  5.03815959E-01
  9.40708167E-02  5.04463743E-01
  9.50554813E-02  5.05118127E-01
  9.60402444E-02  5.05752488E-01
  9.70251060E-02  5.06393135E-01
  9.80100661E-02  5.07014673E-01
  9.89951247E-02  5.07642205E-01
  9.99802818E-02  5.08251484E-01
  1.00965537E-01  5.08866481E-01
  1.01950892E-01  5.09464029E-01
  1.02936344E-01  5.10067038E-01
  1.03921895E-01  5.10653350E-01
