 ######################################################################
 #Data for Case=          15
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001      3996  0.00000000E+00  1.38070006E+01  1.25901562E+01  6.57291646E-01  6.59702744E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  9.75257087E-04  1.36780644E-01
  1.95061171E-03  2.51078009E-01
  2.92606386E-03  3.66733973E-01
  3.90161357E-03  4.17346610E-01
  4.87726084E-03  4.80377151E-01
  5.85300568E-03  5.08214171E-01
  6.82884809E-03  5.44479865E-01
  7.80478810E-03  5.63271406E-01
  8.78082571E-03  5.86722044E-01
  9.75696092E-03  6.00687781E-01
  1.07331938E-02  6.17336564E-01
  1.17095242E-02  6.28321336E-01
  1.26859523E-02  6.40965343E-01
  1.36624781E-02  6.49951337E-01
  1.46391015E-02  6.60032589E-01
  1.56158225E-02  6.67601700E-01
  1.65926413E-02  6.75933729E-01
  1.75695577E-02  6.82455173E-01
  1.85465718E-02  6.89531688E-01
  1.95236837E-02  6.95251900E-01
  2.05008932E-02  7.01390540E-01
  2.14782005E-02  7.06480761E-01
  2.24556055E-02  7.11895767E-01
  2.34331083E-02  7.16479012E-01
  2.44107088E-02  7.21320593E-01
  2.53884071E-02  7.25487752E-01
  2.63662031E-02  7.29864683E-01
  2.73440970E-02  7.33684546E-01
  2.83220886E-02  7.37677784E-01
  2.93001780E-02  7.41203525E-01
  3.02783653E-02  7.44874753E-01
  3.12566504E-02  7.48148234E-01
  3.22350333E-02  7.51545423E-01
  3.32135140E-02  7.54600145E-01
  3.41920926E-02  7.57761275E-01
  3.51707691E-02  7.60624440E-01
  3.61495434E-02  7.63580063E-01
  3.71284157E-02  7.66274050E-01
  3.81073858E-02  7.69049092E-01
  3.90864538E-02  7.71592527E-01
  4.00656197E-02  7.74207583E-01
  4.10448836E-02  7.76616140E-01
  4.20242454E-02  7.79088424E-01
  4.30037051E-02  7.81375413E-01
  4.39832628E-02  7.83719461E-01
  4.49629184E-02  7.85896291E-01
  4.59426720E-02  7.88124493E-01
  4.69225236E-02  7.90201019E-01
  4.79024731E-02  7.92324027E-01
  4.88825207E-02  7.94308822E-01
  4.98626663E-02  7.96335866E-01
  5.08429099E-02  7.98236442E-01
  5.18232515E-02  8.00175572E-01
  5.28036912E-02  8.01998547E-01
  5.37842289E-02  8.03856835E-01
  5.47648647E-02  8.05608076E-01
  5.57455986E-02  8.07391766E-01
  5.67264305E-02  8.09076497E-01
  5.77073605E-02  8.10791138E-01
  5.86883886E-02  8.12414035E-01
  5.96695148E-02  8.14064576E-01
  6.06507392E-02  8.15629843E-01
  6.16320616E-02  8.17220722E-01
  6.26134822E-02  8.18732150E-01
  6.35950010E-02  8.20267365E-01
  6.45766179E-02  8.21728389E-01
  6.55583330E-02  8.23211551E-01
  6.65401462E-02  8.24625291E-01
  6.75220576E-02  8.26059676E-01
  6.85040673E-02  8.27428979E-01
  6.94861751E-02  8.28817568E-01
  7.04683812E-02  8.30145035E-01
  7.14506854E-02  8.31490549E-01
  7.24330880E-02  8.32778564E-01
  7.34155887E-02  8.34083495E-01
  7.43981877E-02  8.35334251E-01
  7.53808850E-02  8.36600883E-01
  7.63636806E-02  8.37816399E-01
  7.73465744E-02  8.39046837E-01
  7.83295665E-02  8.40228978E-01
  7.93126570E-02  8.41425161E-01
  8.02958457E-02  8.42575651E-01
  8.12791328E-02  8.43739373E-01
  8.22625182E-02  8.44859812E-01
  8.32460019E-02  8.45992732E-01
  8.42295840E-02  8.47084605E-01
  8.52132645E-02  8.48188264E-01
  8.61970433E-02  8.49252953E-01
  8.71809206E-02  8.50328782E-01
  8.81648962E-02  8.51367576E-01
  8.91489702E-02  8.52416909E-01
  9.01331426E-02  8.53431009E-01
  9.11174135E-02  8.54455089E-01
  9.21017828E-02  8.55445619E-01
  9.30862505E-02  8.56445607E-01
  9.40708167E-02  8.57413619E-01
  9.50554813E-02  8.58390602E-01
  9.60402444E-02  8.59337083E-01
  9.70251060E-02  8.60292077E-01
  9.80100661E-02  8.61217952E-01
  9.89951247E-02  8.62151913E-01
  9.99802818E-02  8.63058051E-01
  1.00965537E-01  8.63971875E-01
  1.01950892E-01  8.64859096E-01
  1.02936344E-01  8.65753625E-01
  1.03921895E-01  8.66622699E-01
  1.04907545E-01  8.67498727E-01
  1.05893294E-01  8.68350380E-01
  1.06879141E-01  8.69208655E-01
  1.07865086E-01  8.70043575E-01
  1.08851130E-01  8.70884801E-01
  1.09837273E-01  8.71703635E-01
  1.10823514E-01  8.72528479E-01
  1.11809854E-01  8.73331841E-01
  1.12796293E-01  8.74140932E-01
  1.13782830E-01  8.74929402E-01
  1.14769466E-01  8.75723337E-01
  1.15756201E-01  8.76497464E-01
  1.16743034E-01  8.77276807E-01
  1.17729966E-01  8.78037113E-01
  1.18716997E-01  8.78802398E-01
  1.19704126E-01  8.79549379E-01
  1.20691354E-01  8.80301113E-01
  1.21678681E-01  8.81035239E-01
  1.22666107E-01  8.81773905E-01
  1.23653631E-01  8.82495621E-01
  1.24641254E-01  8.83221676E-01
  1.25628976E-01  8.83931409E-01
  1.26616796E-01  8.84645289E-01
  1.27604716E-01  8.85343443E-01
  1.28592734E-01  8.86045561E-01
  1.29580851E-01  8.86732522E-01
  1.30569067E-01  8.87423273E-01
  1.31557381E-01  8.88099409E-01
  1.32545795E-01  8.88779169E-01
  1.33534307E-01  8.89444829E-01
  1.34522918E-01  8.90113956E-01
