 ######################################################################
 #Data for Case=          18
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001     10000  3.75000000E+00  3.89141528E+00  2.40556218E+00  4.07549113E-02  1.34681244E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/UAVG	
  0.00000000E+00  2.78435206E+01
  9.75257087E-04  1.56025908E+00
  1.95061171E-03  1.56160721E+00
  2.92606386E-03  1.56293951E+00
  3.90161357E-03  1.56425600E+00
  4.87726084E-03  1.56555665E+00
  5.85300568E-03  1.56684147E+00
  6.82884809E-03  1.56811044E+00
  7.80478810E-03  1.56936358E+00
  8.78082571E-03  1.57060086E+00
  9.75696092E-03  1.57182229E+00
  1.07331938E-02  1.57302786E+00
  1.17095242E-02  1.57421757E+00
  1.26859523E-02  1.57539141E+00
  1.36624781E-02  1.57654937E+00
  1.46391015E-02  1.57769146E+00
  1.56158225E-02  1.57881767E+00
  1.65926413E-02  1.57992798E+00
  1.75695577E-02  1.58102240E+00
  1.85465718E-02  1.58210093E+00
  1.95236837E-02  1.58316354E+00
  2.05008932E-02  1.58421024E+00
  2.14782005E-02  1.58524102E+00
  2.24556055E-02  1.58625587E+00
  2.34331083E-02  1.58725478E+00
  2.44107088E-02  1.58823776E+00
  2.53884071E-02  1.58920478E+00
  2.63662031E-02  1.59015585E+00
  2.73440970E-02  1.59109093E+00
  2.83220886E-02  1.59201005E+00
  2.93001780E-02  1.59291316E+00
  3.02783653E-02  1.59380030E+00
  3.12566504E-02  1.59467139E+00
  3.22350333E-02  1.59552650E+00
  3.32135140E-02  1.59636553E+00
  3.41920926E-02  1.59718856E+00
  3.51707691E-02  1.59799547E+00
  3.61495434E-02  1.59878638E+00
  3.71284157E-02  1.59956112E+00
  3.81073858E-02  1.60031984E+00
  3.90864538E-02  1.60106235E+00
  4.00656197E-02  1.60178883E+00
  4.10448836E-02  1.60249905E+00
  4.20242454E-02  1.60319323E+00
  4.30037051E-02  1.60387110E+00
  4.39832628E-02  1.60453292E+00
  4.49629184E-02  1.60517836E+00
  4.59426720E-02  1.60580776E+00
  4.69225236E-02  1.60642073E+00
  4.79024731E-02  1.60701765E+00
  4.88825207E-02  1.60759807E+00
  4.98626663E-02  1.60816244E+00
  5.08429099E-02  1.60871027E+00
  5.18232515E-02  1.60924205E+00
  5.28036912E-02  1.60975722E+00
  5.37842289E-02  1.61025636E+00
  5.47648647E-02  1.61073884E+00
  5.57455986E-02  1.61120530E+00
  5.67264305E-02  1.61165506E+00
  5.77073605E-02  1.61208880E+00
  5.86883886E-02  1.61250582E+00
  5.96695148E-02  1.61290683E+00
  6.06507392E-02  1.61329110E+00
  6.16320616E-02  1.61365939E+00
  6.26134822E-02  1.61401093E+00
  6.35950010E-02  1.61434653E+00
  6.45766179E-02  1.61466537E+00
  6.55583330E-02  1.61496831E+00
  6.65401462E-02  1.61525453E+00
  6.75220576E-02  1.61552488E+00
  6.85040673E-02  1.61577857E+00
  6.94861751E-02  1.61601645E+00
  7.04683812E-02  1.61623773E+00
  7.14506854E-02  1.61644327E+00
  7.24330880E-02  1.61663232E+00
  7.34155887E-02  1.61680571E+00
  7.43981877E-02  1.61696274E+00
  7.53808850E-02  1.61710421E+00
  7.63636806E-02  1.61722950E+00
  7.73465744E-02  1.61733932E+00
  7.83295665E-02  1.61743318E+00
  7.93126570E-02  1.61751171E+00
  8.02958457E-02  1.61757454E+00
  8.12791328E-02  1.61762219E+00
  8.22625182E-02  1.61765445E+00
  8.32460019E-02  1.61767170E+00
  8.42295840E-02  1.61767395E+00
  8.52132645E-02  1.61766138E+00
  8.61970433E-02  1.61763423E+00
  8.71809206E-02  1.61759242E+00
  8.81648962E-02  1.61753644E+00
  8.91489702E-02  1.61746596E+00
  9.01331426E-02  1.61738176E+00
  9.11174135E-02  1.61728320E+00
  9.21017828E-02  1.61717140E+00
  9.30862505E-02  1.61704538E+00
  9.40708167E-02  1.61690660E+00
  9.50554813E-02  1.61675376E+00
  9.60402444E-02  1.61658865E+00
  9.70251060E-02  1.61640961E+00
  9.80100661E-02  1.61621880E+00
  9.89951247E-02  1.61601419E+00
  9.99802818E-02  1.61579831E+00
  1.00965537E-01  1.61556874E+00
  1.01950892E-01  1.61532841E+00
  1.02936344E-01  1.61507448E+00
  1.03921895E-01  1.61481029E+00
  1.04907545E-01  1.61453258E+00
  1.05893294E-01  1.61424508E+00
  1.06879141E-01  1.61394413E+00
  1.07865086E-01  1.61363387E+00
  1.08851130E-01  1.61331021E+00
  1.09837273E-01  1.61297768E+00
  1.10823514E-01  1.61263178E+00
  1.11809854E-01  1.61227745E+00
  1.12796293E-01  1.61190976E+00
  1.13782830E-01  1.61153406E+00
  1.14769466E-01  1.61114500E+00
  1.15756201E-01  1.61074831E+00
  1.16743034E-01  1.61033824E+00
  1.17729966E-01  1.60992091E+00
  1.18716997E-01  1.60949017E+00
  1.19704126E-01  1.60905252E+00
  1.20691354E-01  1.60860141E+00
  1.21678681E-01  1.60814370E+00
  1.22666107E-01  1.60767248E+00
  1.23653631E-01  1.60719496E+00
  1.24641254E-01  1.60670385E+00
  1.25628976E-01  1.60620671E+00
  1.26616796E-01  1.60569591E+00
  1.27604716E-01  1.60517932E+00
  1.28592734E-01  1.60464899E+00
  1.29580851E-01  1.60411310E+00
  1.30569067E-01  1.60356335E+00
  1.31557381E-01  1.60300826E+00
  1.32545795E-01  1.60243922E+00
  1.33534307E-01  1.60186501E+00
  1.34522918E-01  1.60127674E+00
  1.35511629E-01  1.60068347E+00
  1.36500437E-01  1.60007602E+00
  1.37489345E-01  1.59946373E+00
  1.38478352E-01  1.59883713E+00
  1.39467458E-01  1.59820583E+00
  1.40456662E-01  1.59756010E+00
  1.41445966E-01  1.59690979E+00
  1.42435368E-01  1.59624492E+00
  1.43424869E-01  1.59557557E+00
  1.44414470E-01  1.59489154E+00
  1.45404169E-01  1.59420313E+00
  1.46393967E-01  1.59349990E+00
  1.47383864E-01  1.59279237E+00
  1.48373861E-01  1.59206990E+00
  1.49363956E-01  1.59134320E+00
  1.50354150E-01  1.59060143E+00
  1.51344443E-01  1.58985549E+00
  1.52334836E-01  1.58909435E+00
  1.53325327E-01  1.58832911E+00
  1.54315917E-01  1.58754854E+00
  1.55306607E-01  1.58676390E+00
  1.56297395E-01  1.58596382E+00
  1.57288283E-01  1.58515971E+00
  1.58279270E-01  1.58434004E+00
  1.59270355E-01  1.58351637E+00
  1.60261540E-01  1.58267702E+00
  1.61252824E-01  1.58183370E+00
  1.62244207E-01  1.58097458E+00
  1.63235690E-01  1.58011153E+00
  1.64227271E-01  1.57923256E+00
  1.65218952E-01  1.57834967E+00
  1.66210732E-01  1.57745076E+00
  1.67202611E-01  1.57654796E+00
  1.68194589E-01  1.57562902E+00
  1.69186666E-01  1.57470620E+00
  1.70178843E-01  1.57376716E+00
  1.71171119E-01  1.57282423E+00
  1.72163494E-01  1.57186499E+00
  1.73155968E-01  1.57090188E+00
  1.74148542E-01  1.56992235E+00
  1.75141214E-01  1.56893897E+00
  1.76133986E-01  1.56793909E+00
  1.77126858E-01  1.56693534E+00
  1.78119828E-01  1.56591502E+00
  1.79112898E-01  1.56489084E+00
  1.80106068E-01  1.56385001E+00
  1.81099336E-01  1.56280532E+00
  1.82092704E-01  1.56174390E+00
  1.83086172E-01  1.56067862E+00
  1.84079738E-01  1.55959655E+00
  1.85073404E-01  1.55851062E+00
  1.86067169E-01  1.55740783E+00
  1.87061034E-01  1.55630118E+00
  1.88054998E-01  1.55517761E+00
  1.89049062E-01  1.55405018E+00
  1.90043225E-01  1.55290577E+00
  1.91037487E-01  1.55175750E+00
  1.92031849E-01  1.55059220E+00
  1.93026310E-01  1.54942302E+00
  1.94020871E-01  1.54823678E+00
  1.95015531E-01  1.54704666E+00
  1.96010291E-01  1.54583943E+00
  1.97005150E-01  1.54462831E+00
  1.98000108E-01  1.54340004E+00
  1.98995166E-01  1.54216788E+00
  1.99990324E-01  1.54091853E+00
  2.00985581E-01  1.53966529E+00
  2.01980938E-01  1.53839483E+00
  2.02976394E-01  1.53712047E+00
  2.03971950E-01  1.53582886E+00
  2.04967605E-01  1.53453335E+00
  2.05963360E-01  1.53322056E+00
  2.06959214E-01  1.53190387E+00
  2.07955168E-01  1.53056987E+00
  2.08951222E-01  1.52923196E+00
  2.09947375E-01  1.52787673E+00
  2.10943628E-01  1.52651759E+00
  2.11939981E-01  1.52514110E+00
  2.12936433E-01  1.52376070E+00
  2.13932985E-01  1.52236294E+00
  2.14929636E-01  1.52096125E+00
  2.15926387E-01  1.51954221E+00
  2.16923238E-01  1.51811923E+00
  2.17920188E-01  1.51667888E+00
  2.18917239E-01  1.51523459E+00
  2.19914389E-01  1.51377292E+00
  2.20911638E-01  1.51230731E+00
  2.21908988E-01  1.51082432E+00
  2.22906437E-01  1.50933738E+00
  2.23903985E-01  1.50783306E+00
