 # GRID: NUMBER OF POINTS:          101  STRETCHING COEFFICIENT ALPHA:    1.0000000133514320E-010
 #I        YPAD              YHAD
  1       -0.00066000        0.00000000
  2        0.00066000        0.00132000
  3        0.00132000        0.00066000
  4        0.00198000        0.00066000
  5        0.00264000        0.00066000
  6        0.00330000        0.00066000
  7        0.00396000        0.00066000
  8        0.00462000        0.00066000
  9        0.00528000        0.00066000
 10        0.00594000        0.00066000
 11        0.00660000        0.00066000
 12        0.00726000        0.00066000
 13        0.00792000        0.00066000
 14        0.00858000        0.00066000
 15        0.00924000        0.00066000
 16        0.00990000        0.00066000
 17        0.01056000        0.00066000
 18        0.01122000        0.00066000
 19        0.01188000        0.00066000
 20        0.01254000        0.00066000
 21        0.01320000        0.00066000
 22        0.01386000        0.00066000
 23        0.01452000        0.00066000
 24        0.01518000        0.00066000
 25        0.01584000        0.00066000
 26        0.01650000        0.00066000
 27        0.01716000        0.00066000
 28        0.01782000        0.00066000
 29        0.01848000        0.00066000
 30        0.01914000        0.00066000
 31        0.01980000        0.00066000
 32        0.02046000        0.00066000
 33        0.02112000        0.00066000
 34        0.02178000        0.00066000
 35        0.02244000        0.00066000
 36        0.02310000        0.00066000
 37        0.02376000        0.00066000
 38        0.02442000        0.00066000
 39        0.02508000        0.00066000
 40        0.02574000        0.00066000
 41        0.02640000        0.00066000
 42        0.02706000        0.00066000
 43        0.02772000        0.00066000
 44        0.02838000        0.00066000
 45        0.02904000        0.00066000
 46        0.02970000        0.00066000
 47        0.03036000        0.00066000
 48        0.03102000        0.00066000
 49        0.03168000        0.00066000
 50        0.03234000        0.00066000
 51        0.03300000        0.00066000
 52        0.03366000        0.00066000
 53        0.03432000        0.00066000
 54        0.03498000        0.00066000
 55        0.03564000        0.00066000
 56        0.03630000        0.00066000
 57        0.03696000        0.00066000
 58        0.03762000        0.00066000
 59        0.03828000        0.00066000
 60        0.03894000        0.00066000
 61        0.03960000        0.00066000
 62        0.04026000        0.00066000
 63        0.04092000        0.00066000
 64        0.04158000        0.00066000
 65        0.04224000        0.00066000
 66        0.04290000        0.00066000
 67        0.04356000        0.00066000
 68        0.04422000        0.00066000
 69        0.04488000        0.00066000
 70        0.04554000        0.00066000
 71        0.04620000        0.00066000
 72        0.04686000        0.00066000
 73        0.04752000        0.00066000
 74        0.04818000        0.00066000
 75        0.04884000        0.00066000
 76        0.04950000        0.00066000
 77        0.05016000        0.00066000
 78        0.05082000        0.00066000
 79        0.05148000        0.00066000
 80        0.05214000        0.00066000
 81        0.05280000        0.00066000
 82        0.05346000        0.00066000
 83        0.05412000        0.00066000
 84        0.05478000        0.00066000
 85        0.05544000        0.00066000
 86        0.05610000        0.00066000
 87        0.05676000        0.00066000
 88        0.05742000        0.00066000
 89        0.05808000        0.00066000
 90        0.05874000        0.00066000
 91        0.05940000        0.00066000
 92        0.06006000        0.00066000
 93        0.06072000        0.00066000
 94        0.06138000        0.00066000
 95        0.06204000        0.00066000
 96        0.06270000        0.00066000
 97        0.06336000        0.00066000
 98        0.06402000        0.00066000
 99        0.06468000        0.00066000
100        0.06534000        0.00066000
101        0.06666000        0.00132000
