 ######################################################################
 #Data for Case=          15
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05     101     10000  0.00000000E+00  2.49619107E+01  2.36211923E+01  6.70085202E-01  6.46703827E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  9.97551960E-03  8.04278399E-01
  1.99520368E-02  8.07273235E-01
  2.99295517E-02  8.54694939E-01
  3.99080644E-02  8.63152200E-01
  4.98875750E-02  8.80818714E-01
  5.98680836E-02  8.88396294E-01
  6.98495903E-02  8.98804804E-01
  7.98320953E-02  9.04934074E-01
  8.98155985E-02  9.12280658E-01
  9.98001001E-02  9.17297575E-01
  1.09785600E-01  9.22954698E-01
  1.19772099E-01  9.27168063E-01
  1.29759596E-01  9.31752966E-01
  1.39748093E-01  9.35373240E-01
  1.49737588E-01  9.39218475E-01
  1.59728082E-01  9.42386808E-01
  1.69719575E-01  9.45692338E-01
  1.79712067E-01  9.48506292E-01
  1.89705559E-01  9.51401819E-01
  1.99700050E-01  9.53931369E-01
  2.09695541E-01  9.56505986E-01
  2.19692031E-01  9.58803095E-01
  2.29689521E-01  9.61120806E-01
  2.39688011E-01  9.63225166E-01
  2.49687500E-01  9.65333516E-01
  2.59687990E-01  9.67276036E-01
  2.69689479E-01  9.69211141E-01
  2.79691969E-01  9.71016087E-01
  2.89695460E-01  9.72805681E-01
  2.99699950E-01  9.74492048E-01
  3.09705441E-01  9.76157420E-01
  3.19711933E-01  9.77739842E-01
  3.29719425E-01  9.79297117E-01
  3.39727919E-01  9.80786503E-01
  3.49737413E-01  9.82247512E-01
  3.59747908E-01  9.83651493E-01
  3.69759404E-01  9.85024373E-01
  3.79771901E-01  9.86347606E-01
  3.89785400E-01  9.87637188E-01
  3.99799900E-01  9.88881556E-01
  4.09815402E-01  9.90089617E-01
  4.19831905E-01  9.91254345E-01
  4.29849410E-01  9.92379753E-01
  4.39867916E-01  9.93461464E-01
  4.49887425E-01  9.94500255E-01
  4.59907936E-01  9.95492982E-01
  4.69929448E-01  9.96438364E-01
  4.79951963E-01  9.97333512E-01
  4.89975480E-01  9.98175916E-01
  5.00000000E-01  9.98962789E-01
  5.10024520E-01  9.99693772E-01
  5.20048037E-01  1.00000000E+00
  5.30070552E-01  9.99710245E-01
  5.40092064E-01  9.99418724E-01
  5.50112575E-01  9.99110246E-01
  5.60132084E-01  9.98782911E-01
  5.70150590E-01  9.98439163E-01
  5.80168095E-01  9.98084086E-01
  5.90184598E-01  9.97721130E-01
  6.00200100E-01  9.97347527E-01
  6.10214600E-01  9.96958553E-01
  6.20228099E-01  9.96542866E-01
  6.30240596E-01  9.96091218E-01
  6.40252092E-01  9.95583453E-01
  6.50262587E-01  9.95004244E-01
  6.60272081E-01  9.94316350E-01
  6.70280575E-01  9.93495034E-01
  6.80288067E-01  9.92474867E-01
  6.90294559E-01  9.91227422E-01
  7.00300050E-01  9.89652200E-01
  7.10304540E-01  9.87745231E-01
  7.20308031E-01  9.85371644E-01
  7.30310521E-01  9.82602088E-01
  7.40312010E-01  9.79262251E-01
  7.50312500E-01  9.75546373E-01
  7.60311989E-01  9.71211352E-01
  7.70310479E-01  9.66601831E-01
  7.80307969E-01  9.61351567E-01
  7.90304459E-01  9.55966856E-01
  8.00299950E-01  9.49896887E-01
  8.10294441E-01  9.43834074E-01
  8.20287933E-01  9.36989959E-01
  8.30280425E-01  9.30301609E-01
  8.40271918E-01  9.22695871E-01
  8.50262412E-01  9.15440978E-01
  8.60251907E-01  9.07124623E-01
  8.70240404E-01  8.99433074E-01
  8.80227901E-01  8.90537836E-01
  8.90214400E-01  8.82606993E-01
  9.00199900E-01  8.73275529E-01
  9.10184402E-01  8.65258796E-01
  9.20167905E-01  8.55434719E-01
  9.30150410E-01  8.47251743E-01
  9.40131916E-01  8.36306988E-01
  9.50112425E-01  8.27377379E-01
  9.60091936E-01  8.13122442E-01
  9.70070448E-01  8.01562855E-01
  9.80047963E-01  7.73791880E-01
  9.90024480E-01  7.49130039E-01
  1.00000000E+00  1.00000000E+00
