#    y/2h      U/Ub
# 23
 .7100E-02 .5500E+00
 .1630E-01 .6260E+00
 .3170E-01 .7028E+00
 .4740E-01 .7502E+00
 .8740E-01 .8353E+00
 .1357E+00 .8814E+00
 .1806E+00 .9048E+00
 .2237E+00 .9269E+00
 .2674E+00 .9398E+00
 .3154E+00 .9628E+00
 .3597E+00 .9826E+00
 .4080E+00 .9960E+00
 .4532E+00 .1004E+01
 .4943E+00 .1009E+01
 .5449E+00 .1019E+01
 .5914E+00 .1025E+01
 .6397E+00 .1027E+01
 .6717E+00 .1027E+01
 .7280E+00 .1027E+01
 .7689E+00 .1027E+01
 .8169E+00 .1027E+01
 .8640E+00 .1025E+01
 .9065E+00 .1021E+01
