 ######################################################################
 #Data for Case=           1
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999982E-14     101      1532  1.28400002E+01  1.63703856E+01  6.28023873E+00  2.80607481E-01  2.80607481E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  1.00031086E-02  2.74952135E-01
  1.99951150E-02  2.86455979E-01
  2.99982236E-02  3.34421308E-01
  4.00013323E-02  3.41769602E-01
  5.00044409E-02  3.58261699E-01
  5.99964473E-02  3.64491909E-01
  6.99995559E-02  3.73629519E-01
  8.00026645E-02  3.78748900E-01
  8.99946709E-02  3.85087027E-01
  9.99977796E-02  3.89376853E-01
  1.10000888E-01  3.94312522E-01
  1.20003997E-01  3.98013801E-01
  1.29996003E-01  4.02104817E-01
  1.39999112E-01  4.05385292E-01
  1.50002220E-01  4.08928096E-01
  1.60005329E-01  4.11900240E-01
  1.69997335E-01  4.15053789E-01
  1.80000444E-01  4.17796470E-01
  1.90003553E-01  4.20673747E-01
  1.99995559E-01  4.23240020E-01
  2.09998668E-01  4.25909875E-01
  2.20001776E-01  4.28346857E-01
  2.30004885E-01  4.30860189E-01
  2.39996891E-01  4.33193915E-01
  2.50000000E-01  4.35588558E-01
  2.60003109E-01  4.37848363E-01
  2.69995115E-01  4.40150125E-01
  2.79998224E-01  4.42352454E-01
  2.90001332E-01  4.44588424E-01
  3.00004441E-01  4.46748078E-01
  3.09996447E-01  4.48930512E-01
  3.19999556E-01  4.51059281E-01
  3.30002665E-01  4.53206550E-01
  3.39994671E-01  4.55311264E-01
  3.49997780E-01  4.57431625E-01
  3.60000888E-01  4.59524082E-01
  3.70003997E-01  4.61625779E-01
  3.79996003E-01  4.63706716E-01
  3.89999112E-01  4.65796091E-01
  4.00002220E-01  4.67874019E-01
  4.10005329E-01  4.69955749E-01
  4.19997335E-01  4.72028699E-01
  4.30000444E-01  4.74106108E-01
  4.40003553E-01  4.76180307E-01
  4.49995559E-01  4.78253270E-01
  4.59998668E-01  4.80327251E-01
  4.70001776E-01  4.82401658E-01
  4.80004885E-01  4.84475708E-01
  4.89996891E-01  4.86547575E-01
  5.00000000E-01  4.88621690E-01
  5.10003109E-01  4.90695823E-01
  5.19995115E-01  4.92767662E-01
  5.29998224E-01  4.94841800E-01
  5.40001332E-01  4.96916156E-01
  5.50004441E-01  4.98990438E-01
  5.59996447E-01  5.01063374E-01
  5.69999556E-01  5.03138292E-01
  5.80002665E-01  5.05215812E-01
  5.89994671E-01  5.07290156E-01
  5.99997780E-01  5.09372311E-01
  6.10000888E-01  5.11452631E-01
  6.20003997E-01  5.13542978E-01
  6.29996003E-01  5.15627669E-01
  6.39999112E-01  5.17731177E-01
  6.50002220E-01  5.19829208E-01
  6.60005329E-01  5.21952570E-01
  6.69997335E-01  5.24065173E-01
  6.80000444E-01  5.26217043E-01
  6.90003553E-01  5.28356693E-01
  6.99995559E-01  5.30545791E-01
  7.09998668E-01  5.32720074E-01
  7.20001776E-01  5.34965413E-01
  7.30004885E-01  5.37187113E-01
  7.39996891E-01  5.39501613E-01
  7.50000000E-01  5.41786821E-01
  7.60003109E-01  5.44198604E-01
  7.69995115E-01  5.46565433E-01
  7.79998224E-01  5.49101451E-01
  7.90001332E-01  5.51581926E-01
  8.00004441E-01  5.54281597E-01
  8.09996447E-01  5.56905226E-01
  8.19999556E-01  5.59821520E-01
  8.30002665E-01  5.62641535E-01
  8.39994671E-01  5.65845789E-01
  8.49997780E-01  5.68924647E-01
  8.60000888E-01  5.72533343E-01
  8.70003997E-01  5.75967211E-01
  8.79996003E-01  5.80140658E-01
  8.89999112E-01  5.84076927E-01
  9.00002220E-01  5.89104768E-01
  9.10005329E-01  5.93793322E-01
  9.19997335E-01  6.00179228E-01
  9.30000444E-01  6.06092962E-01
  9.40003553E-01  6.14957474E-01
  9.49995559E-01  6.23180701E-01
  9.59998668E-01  6.37549946E-01
  9.70001776E-01  6.51534717E-01
  9.80004885E-01  6.85045679E-01
  9.89996891E-01  7.25047865E-01
  1.00000000E+00  1.00000000E+00
