 ######################################################################
 #Data for Case=           6
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001     10000  8.59000015E+00  8.65456574E+00  7.22947412E+00  3.04514035E-01  4.06349381E-02
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  7.70785585E-05  3.72944057E-03
  1.54164825E-04  7.45881350E-03
  2.31258801E-04  1.11882667E-02
  3.08360487E-04  1.49177752E-02
  3.85469883E-04  1.86473639E-02
  4.62586990E-04  2.23769255E-02
  5.39711810E-04  2.61065671E-02
  6.16844342E-04  2.98360025E-02
  6.93984588E-04  3.35655178E-02
  7.71132549E-04  3.72945147E-02
  8.48288224E-04  4.10235911E-02
  9.25451616E-04  4.47516693E-02
  1.00262272E-03  4.84798267E-02
  1.07980155E-03  5.22063053E-02
  1.15698809E-03  5.59328632E-02
  1.23418236E-03  5.96568308E-02
  1.31138434E-03  6.33808782E-02
  1.38859404E-03  6.71011661E-02
  1.46581147E-03  7.08215355E-02
  1.54303662E-03  7.45366950E-02
  1.62026949E-03  7.82519401E-02
  1.69751008E-03  8.19602261E-02
  1.77475840E-03  8.56686057E-02
  1.85201444E-03  8.93679663E-02
  1.92927821E-03  9.30674351E-02
  2.00654971E-03  9.67555097E-02
  2.08382893E-03  1.00443717E-01
  2.16111588E-03  1.04117844E-01
  2.23841056E-03  1.07792141E-01
  2.31571297E-03  1.11449375E-01
  2.39302311E-03  1.15106837E-01
  2.47034099E-03  1.18743977E-01
  2.54766659E-03  1.22381427E-01
  2.62499993E-03  1.25995058E-01
  2.70234100E-03  1.29609111E-01
  2.77968981E-03  1.33195648E-01
  2.85704635E-03  1.36782758E-01
  2.93441063E-03  1.40338509E-01
  3.01178264E-03  1.43895027E-01
  3.08916239E-03  1.47416254E-01
  3.16654988E-03  1.50938490E-01
  3.24394511E-03  1.54421478E-01
  3.32134808E-03  1.57905768E-01
  3.39875879E-03  1.61346889E-01
  3.47617724E-03  1.64789661E-01
  3.55360344E-03  1.68185441E-01
  3.63103737E-03  1.71583277E-01
  3.70847905E-03  1.74930456E-01
  3.78592848E-03  1.78280147E-01
  3.86338565E-03  1.81575728E-01
  3.94085056E-03  1.84874325E-01
  4.01832323E-03  1.88115614E-01
  4.09580364E-03  1.91360465E-01
  4.17329180E-03  1.94545102E-01
  4.25078771E-03  1.97733879E-01
  4.32829136E-03  2.00859854E-01
  4.40580277E-03  2.03990574E-01
  4.48332193E-03  2.07056237E-01
  4.56084885E-03  2.10127263E-01
  4.63838351E-03  2.13131322E-01
  4.71592593E-03  2.16141364E-01
  4.79347611E-03  2.19082871E-01
  4.87103404E-03  2.22030979E-01
  4.94859973E-03  2.24909317E-01
  5.02617317E-03  2.27794858E-01
  5.10375437E-03  2.30609718E-01
  5.18134333E-03  2.33432359E-01
  5.25894005E-03  2.36183712E-01
  5.33654453E-03  2.38943396E-01
  5.41415677E-03  2.41631470E-01
  5.49177677E-03  2.44328388E-01
  5.56940453E-03  2.46953633E-01
  5.64704006E-03  2.49588199E-01
  5.72468335E-03  2.52151266E-01
  5.80233440E-03  2.54724087E-01
  5.87999323E-03  2.57225796E-01
  5.95765981E-03  2.59737648E-01
  6.03533417E-03  2.62178961E-01
  6.11301629E-03  2.64630764E-01
  6.19070618E-03  2.67012768E-01
  6.26840384E-03  2.69405560E-01
  6.34610927E-03  2.71729435E-01
  6.42382247E-03  2.74064355E-01
  6.50154344E-03  2.76331362E-01
  6.57927219E-03  2.78609627E-01
  6.65700871E-03  2.80821086E-01
  6.73475300E-03  2.83043975E-01
  6.81250507E-03  2.85201249E-01
  6.89026491E-03  2.87370087E-01
  6.96803253E-03  2.89474571E-01
  7.04580793E-03  2.91590716E-01
  7.12359110E-03  2.93643822E-01
  7.20138205E-03  2.95708652E-01
  7.27918079E-03  2.97711800E-01
  7.35698730E-03  2.99726706E-01
  7.43480159E-03  3.01681315E-01
  7.51262367E-03  3.03647686E-01
  7.59045353E-03  3.05555167E-01
  7.66829117E-03  3.07474388E-01
  7.74613660E-03  3.09336139E-01
  7.82398981E-03  3.11209583E-01
  7.90185080E-03  3.13026978E-01
  7.97971959E-03  3.14856001E-01
  8.05759616E-03  3.16630394E-01
  8.13548052E-03  3.18416330E-01
  8.21337266E-03  3.20149046E-01
  8.29127260E-03  3.21893204E-01
  8.36918033E-03  3.23585540E-01
  8.44709585E-03  3.25289201E-01
  8.52501916E-03  3.26942419E-01
  8.60295026E-03  3.28606835E-01
  8.68088916E-03  3.30222166E-01
  8.75883585E-03  3.31848556E-01
  8.83679033E-03  3.33427198E-01
  8.91475261E-03  3.35016749E-01
  8.99272269E-03  3.36559862E-01
  9.07070057E-03  3.38113728E-01
  9.14868624E-03  3.39622438E-01
  9.22667971E-03  3.41141739E-01
  9.30468099E-03  3.42617138E-01
  9.38269006E-03  3.44102959E-01
  9.46070693E-03  3.45546101E-01
  9.53873161E-03  3.46999493E-01
  9.61676409E-03  3.48411401E-01
