 ######################################################################
 #Data for Case=          18
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
 # 9.99999975E-05   10001     10000  3.75000000E+00  3.88851095E+00  2.43352343E+00  4.05441345E-02  1.34744846E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  0.00000000E+00  2.78303780E+01
  7.70785585E-05  1.54108159E+00
  1.54164825E-04  1.54118752E+00
  2.31258801E-04  1.54129338E+00
  3.08360487E-04  1.54139914E+00
  3.85469883E-04  1.54150482E+00
  4.62586990E-04  1.54161040E+00
  5.39711810E-04  1.54171590E+00
  6.16844342E-04  1.54182131E+00
  6.93984588E-04  1.54192664E+00
  7.71132549E-04  1.54203187E+00
  8.48288224E-04  1.54213702E+00
  9.25451616E-04  1.54224208E+00
  1.00262272E-03  1.54234705E+00
  1.07980155E-03  1.54245193E+00
  1.15698809E-03  1.54255673E+00
  1.23418236E-03  1.54266143E+00
  1.31138434E-03  1.54276605E+00
  1.38859404E-03  1.54287058E+00
  1.46581147E-03  1.54297502E+00
  1.54303662E-03  1.54307937E+00
  1.62026949E-03  1.54318364E+00
  1.69751008E-03  1.54328781E+00
  1.77475840E-03  1.54339190E+00
  1.85201444E-03  1.54349590E+00
  1.92927821E-03  1.54359981E+00
  2.00654971E-03  1.54370363E+00
  2.08382893E-03  1.54380737E+00
  2.16111588E-03  1.54391101E+00
  2.23841056E-03  1.54401456E+00
  2.31571297E-03  1.54411803E+00
  2.39302311E-03  1.54422141E+00
  2.47034099E-03  1.54432470E+00
  2.54766659E-03  1.54442790E+00
  2.62499993E-03  1.54453101E+00
  2.70234100E-03  1.54463404E+00
  2.77968981E-03  1.54473697E+00
  2.85704635E-03  1.54483981E+00
  2.93441063E-03  1.54494257E+00
  3.01178264E-03  1.54504524E+00
  3.08916239E-03  1.54514782E+00
  3.16654988E-03  1.54525031E+00
  3.24394511E-03  1.54535271E+00
  3.32134808E-03  1.54545502E+00
  3.39875879E-03  1.54555724E+00
  3.47617724E-03  1.54565937E+00
  3.55360344E-03  1.54576142E+00
  3.63103737E-03  1.54586337E+00
  3.70847905E-03  1.54596524E+00
  3.78592848E-03  1.54606701E+00
  3.86338565E-03  1.54616870E+00
  3.94085056E-03  1.54627030E+00
  4.01832323E-03  1.54637181E+00
  4.09580364E-03  1.54647323E+00
  4.17329180E-03  1.54657456E+00
  4.25078771E-03  1.54667580E+00
  4.32829136E-03  1.54677695E+00
  4.40580277E-03  1.54687801E+00
  4.48332193E-03  1.54697898E+00
  4.56084885E-03  1.54707986E+00
  4.63838351E-03  1.54718065E+00
  4.71592593E-03  1.54728136E+00
  4.79347611E-03  1.54738197E+00
  4.87103404E-03  1.54748249E+00
  4.94859973E-03  1.54758293E+00
  5.02617317E-03  1.54768327E+00
  5.10375437E-03  1.54778353E+00
  5.18134333E-03  1.54788369E+00
  5.25894005E-03  1.54798377E+00
  5.33654453E-03  1.54808375E+00
  5.41415677E-03  1.54818365E+00
  5.49177677E-03  1.54828345E+00
  5.56940453E-03  1.54838317E+00
