# GRID: NUMBER OF POINTS: 10001 STRETCHING COEFFICIENT ALPHA:   9.99999975E-05
 #I        YPAD              YHAD
  1       -0.00000231        0.00000000
  2        0.00000231        0.00000462
  3        0.00000462        0.00000231
  4        0.00000694        0.00000231
  5        0.00000925        0.00000231
  6        0.00001156        0.00000231
  7        0.00001388        0.00000231
  8        0.00001619        0.00000231
  9        0.00001851        0.00000231
 10        0.00002082        0.00000231
 11        0.00002313        0.00000231
 12        0.00002545        0.00000231
 13        0.00002776        0.00000231
 14        0.00003008        0.00000232
 15        0.00003239        0.00000232
 16        0.00003471        0.00000232
 17        0.00003703        0.00000232
 18        0.00003934        0.00000232
 19        0.00004166        0.00000232
 20        0.00004397        0.00000232
 21        0.00004629        0.00000232
 22        0.00004861        0.00000232
 23        0.00005093        0.00000232
 24        0.00005324        0.00000232
 25        0.00005556        0.00000232
 26        0.00005788        0.00000232
 27        0.00006020        0.00000232
 28        0.00006251        0.00000232
 29        0.00006483        0.00000232
 30        0.00006715        0.00000232
 31        0.00006947        0.00000232
 32        0.00007179        0.00000232
 33        0.00007411        0.00000232
 34        0.00007643        0.00000232
 35        0.00007875        0.00000232
 36        0.00008107        0.00000232
 37        0.00008339        0.00000232
 38        0.00008571        0.00000232
 39        0.00008803        0.00000232
 40        0.00009035        0.00000232
 41        0.00009267        0.00000232
 42        0.00009500        0.00000232
 43        0.00009732        0.00000232
 44        0.00009964        0.00000232
 45        0.00010196        0.00000232
 46        0.00010429        0.00000232
 47        0.00010661        0.00000232
 48        0.00010893        0.00000232
 49        0.00011125        0.00000232
 50        0.00011358        0.00000232
 51        0.00011590        0.00000232
 52        0.00011823        0.00000232
 53        0.00012055        0.00000232
 54        0.00012287        0.00000232
 55        0.00012520        0.00000232
 56        0.00012752        0.00000232
 57        0.00012985        0.00000233
 58        0.00013217        0.00000233
 59        0.00013450        0.00000233
 60        0.00013683        0.00000233
 61        0.00013915        0.00000233
 62        0.00014148        0.00000233
 63        0.00014380        0.00000233
 64        0.00014613        0.00000233
 65        0.00014846        0.00000233
 66        0.00015079        0.00000233
 67        0.00015311        0.00000233
 68        0.00015544        0.00000233
 69        0.00015777        0.00000233
 70        0.00016010        0.00000233
 71        0.00016242        0.00000233
 72        0.00016475        0.00000233
 73        0.00016708        0.00000233
 74        0.00016941        0.00000233
 75        0.00017174        0.00000233
 76        0.00017407        0.00000233
 77        0.00017640        0.00000233
 78        0.00017873        0.00000233
 79        0.00018106        0.00000233
 80        0.00018339        0.00000233
 81        0.00018572        0.00000233
 82        0.00018805        0.00000233
 83        0.00019038        0.00000233
 84        0.00019271        0.00000233
 85        0.00019505        0.00000233
 86        0.00019738        0.00000233
 87        0.00019971        0.00000233
 88        0.00020204        0.00000233
 89        0.00020438        0.00000233
 90        0.00020671        0.00000233
 91        0.00020904        0.00000233
 92        0.00021137        0.00000233
 93        0.00021371        0.00000233
 94        0.00021604        0.00000233
 95        0.00021838        0.00000233
 96        0.00022071        0.00000233
 97        0.00022304        0.00000233
 98        0.00022538        0.00000233
 99        0.00022771        0.00000233
100        0.00023005        0.00000234
101        0.00023238        0.00000234
102        0.00023472        0.00000234
103        0.00023706        0.00000234
104        0.00023939        0.00000234
105        0.00024173        0.00000234
