 ######################################################################
 #Data for Case=           6
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001     10000  8.59000015E+00  8.64970789E+00  7.24552477E+00  3.04622052E-01  3.98170966E-02
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  9.75257087E-04  4.72212275E-02
  1.95061171E-03  9.38848657E-02
  2.92606386E-03  1.40509832E-01
  3.90161357E-03  1.81638329E-01
  4.87726084E-03  2.23048298E-01
  5.85300568E-03  2.53421056E-01
  6.82884809E-03  2.85309130E-01
  7.80478810E-03  3.06887795E-01
  8.78082571E-03  3.30497012E-01
  9.75696092E-03  3.46477363E-01
  1.07331938E-02  3.64251104E-01
  1.17095242E-02  3.76642711E-01
  1.26859523E-02  3.90437958E-01
  1.36624781E-02  4.00411314E-01
  1.46391015E-02  4.11451954E-01
  1.56158225E-02  4.19717046E-01
  1.65926413E-02  4.28795991E-01
  1.75695577E-02  4.35806679E-01
  1.85465718E-02  4.43446659E-01
  1.95236837E-02  4.49506769E-01
  2.05008932E-02  4.56061863E-01
  2.14782005E-02  4.61382712E-01
  2.24556055E-02  4.67099678E-01
  2.34331083E-02  4.71832982E-01
  2.44107088E-02  4.76888471E-01
  2.53884071E-02  4.81146101E-01
  2.63662031E-02  4.85669701E-01
  2.73440970E-02  4.89536052E-01
  2.83220886E-02  4.93624929E-01
  2.93001780E-02  4.97164936E-01
  3.02783653E-02  5.00893377E-01
  3.12566504E-02  5.04157873E-01
  3.22350333E-02  5.07583670E-01
  3.32135140E-02  5.10613055E-01
  3.41920926E-02  5.13781867E-01
  3.51707691E-02  5.16608692E-01
  3.61495434E-02  5.19557099E-01
  3.71284157E-02  5.22207904E-01
  3.81073858E-02  5.24965580E-01
  3.90864538E-02  5.27462248E-01
  4.00656197E-02  5.30053537E-01
  4.10448836E-02  5.32414285E-01
  4.20242454E-02  5.34859365E-01
  4.30037051E-02  5.37099501E-01
  4.39832628E-02  5.39415253E-01
  4.49629184E-02  5.41547742E-01
  4.59426720E-02  5.43748410E-01
  4.69225236E-02  5.45784317E-01
  4.79024731E-02  5.47882015E-01
  4.88825207E-02  5.49830853E-01
  4.98626663E-02  5.51835956E-01
  5.08429099E-02  5.53705951E-01
  5.18232515E-02  5.55627406E-01
  5.28036912E-02  5.57425719E-01
  5.37842289E-02  5.59271289E-01
  5.47648647E-02  5.61004185E-01
  5.57455986E-02  5.62780645E-01
  5.67264305E-02  5.64453634E-01
  5.77073605E-02  5.66166926E-01
  5.86883886E-02  5.67784881E-01
  5.96695148E-02  5.69440244E-01
  6.06507392E-02  5.71007490E-01
  6.16320616E-02  5.72609566E-01
  6.26134822E-02  5.74129960E-01
  6.35950010E-02  5.75682879E-01
  6.45766179E-02  5.77159874E-01
  6.55583330E-02  5.78667325E-01
  6.65401462E-02  5.80104024E-01
  6.75220576E-02  5.81569317E-01
  6.85040673E-02  5.82968518E-01
  6.94861751E-02  5.84394631E-01
  7.04683812E-02  5.85758867E-01
  7.14506854E-02  5.87148490E-01
  7.24330880E-02  5.88480061E-01
  7.34155887E-02  5.89835631E-01
  7.43981877E-02  5.91136630E-01
  7.53808850E-02  5.92460364E-01
  7.63636806E-02  5.93732702E-01
  7.73465744E-02  5.95026620E-01
  7.83295665E-02  5.96272048E-01
  7.93126570E-02  5.97537995E-01
  8.02958457E-02  5.98758119E-01
  8.12791328E-02  5.99997789E-01
  8.22625182E-02  6.01194087E-01
  8.32460019E-02  6.02409035E-01
  8.42295840E-02  6.03582870E-01
  8.52132645E-02  6.04774528E-01
  8.61970433E-02  6.05927160E-01
  8.71809206E-02  6.07096849E-01
  8.81648962E-02  6.08229446E-01
  8.91489702E-02  6.09378390E-01
  9.01331426E-02  6.10492034E-01
  9.11174135E-02  6.11621365E-01
  9.21017828E-02  6.12717063E-01
  9.30862505E-02  6.13827835E-01
  9.40708167E-02  6.14906525E-01
  9.50554813E-02  6.15999716E-01
  9.60402444E-02  6.17062273E-01
  9.70251060E-02  6.18138797E-01
  9.80100661E-02  6.19186038E-01
  9.89951247E-02  6.20246746E-01
  9.99802818E-02  6.21279437E-01
  1.00965537E-01  6.22325126E-01
  1.01950892E-01  6.23343985E-01
  1.02936344E-01  6.24375400E-01
  1.03921895E-01  6.25381100E-01
  1.04907545E-01  6.26398942E-01
  1.05893294E-01  6.27392115E-01
  1.06879141E-01  6.28397040E-01
  1.07865086E-01  6.29378283E-01
  1.08851130E-01  6.30370909E-01
  1.09837273E-01  6.31340782E-01
  1.10823514E-01  6.32321691E-01
  1.11809854E-01  6.33280725E-01
  1.12796293E-01  6.34250464E-01
  1.13782830E-01  6.35199159E-01
  1.14769466E-01  6.36158246E-01
  1.15756201E-01  6.37097075E-01
  1.16743034E-01  6.38045999E-01
  1.17729966E-01  6.38975408E-01
  1.18716997E-01  6.39914631E-01
  1.19704126E-01  6.40835045E-01
  1.20691354E-01  6.41765005E-01
  1.21678681E-01  6.42676826E-01
  1.22666107E-01  6.43597938E-01
  1.23653631E-01  6.44501547E-01
  1.24641254E-01  6.45414204E-01
  1.25628976E-01  6.46309963E-01
  1.26616796E-01  6.47214538E-01
  1.27604716E-01  6.48102793E-01
  1.28592734E-01  6.48999641E-01
  1.29580851E-01  6.49880719E-01
  1.30569067E-01  6.50770177E-01
  1.31557381E-01  6.51644390E-01
  1.32545795E-01  6.52526780E-01
  1.33534307E-01  6.53394425E-01
  1.34522918E-01  6.54270052E-01
  1.35511629E-01  6.55131413E-01
  1.36500437E-01  6.56000568E-01
  1.37489345E-01  6.56855916E-01
  1.38478352E-01  6.57718878E-01
  1.39467458E-01  6.58568470E-01
  1.40456662E-01  6.59425503E-01
  1.41445966E-01  6.60269587E-01
  1.42435368E-01  6.61120945E-01
  1.43424869E-01  6.61959756E-01
  1.44414470E-01  6.62805680E-01
  1.45404169E-01  6.63639444E-01
  1.46393967E-01  6.64480166E-01
  1.47383864E-01  6.65309098E-01
  1.48373861E-01  6.66144839E-01
  1.49363956E-01  6.66969147E-01
  1.50354150E-01  6.67800118E-01
  1.51344443E-01  6.68619999E-01
  1.52334836E-01  6.69446404E-01
  1.53325327E-01  6.70262047E-01
  1.54315917E-01  6.71084079E-01
  1.55306607E-01  6.71895668E-01
  1.56297395E-01  6.72713513E-01
  1.57288283E-01  6.73521221E-01
  1.58279270E-01  6.74335058E-01
  1.59270355E-01  6.75139052E-01
  1.60261540E-01  6.75949052E-01
  1.61252824E-01  6.76749493E-01
  1.62244207E-01  6.77555821E-01
  1.63235690E-01  6.78352862E-01
  1.64227271E-01  6.79155675E-01
  1.65218952E-01  6.79949466E-01
  1.66210732E-01  6.80748915E-01
  1.67202611E-01  6.81539598E-01
  1.68194589E-01  6.82335829E-01
  1.69186666E-01  6.83123539E-01
  1.70178843E-01  6.83916692E-01
  1.71171119E-01  6.84701563E-01
  1.72163494E-01  6.85491771E-01
  1.73155968E-01  6.86273928E-01
  1.74148542E-01  6.87061322E-01
  1.75141214E-01  6.87840887E-01
  1.76133986E-01  6.88625590E-01
  1.77126858E-01  6.89402680E-01
  1.78119828E-01  6.90184812E-01
  1.79112898E-01  6.90959540E-01
  1.80106068E-01  6.91739215E-01
  1.81099336E-01  6.92511690E-01
  1.82092704E-01  6.93289020E-01
  1.83086172E-01  6.94059344E-01
  1.84079738E-01  6.94834436E-01
  1.85073404E-01  6.95602712E-01
  1.86067169E-01  6.96375666E-01
  1.87061034E-01  6.97141990E-01
  1.88054998E-01  6.97912907E-01
  1.89049062E-01  6.98677373E-01
  1.90043225E-01  6.99446347E-01
  1.91037487E-01  7.00209044E-01
  1.92031849E-01  7.00976168E-01
  1.93026310E-01  7.01737182E-01
  1.94020871E-01  7.02502543E-01
  1.95015531E-01  7.03261959E-01
  1.96010291E-01  7.04025643E-01
  1.97005150E-01  7.04783540E-01
  1.98000108E-01  7.05545628E-01
  1.98995166E-01  7.06302084E-01
  1.99990324E-01  7.07062655E-01
  2.00985581E-01  7.07817745E-01
  2.01980938E-01  7.08576876E-01
  2.02976394E-01  7.09330672E-01
  2.03971950E-01  7.10088436E-01
  2.04967605E-01  7.10841007E-01
  2.05963360E-01  7.11597474E-01
  2.06959214E-01  7.12348887E-01
  2.07955168E-01  7.13104126E-01
  2.08951222E-01  7.13854444E-01
  2.09947375E-01  7.14608521E-01
  2.10943628E-01  7.15357808E-01
  2.11939981E-01  7.16110785E-01
  2.12936433E-01  7.16859100E-01
  2.13932985E-01  7.17611039E-01
  2.14929636E-01  7.18358440E-01
  2.15926387E-01  7.19109399E-01
  2.16923238E-01  7.19855942E-01
  2.17920188E-01  7.20605977E-01
  2.18917239E-01  7.21351715E-01
  2.19914389E-01  7.22100882E-01
  2.20911638E-01  7.22845866E-01
  2.21908988E-01  7.23594217E-01
  2.22906437E-01  7.24338498E-01
  2.23903985E-01  7.25086083E-01
  2.24901634E-01  7.25829707E-01
  2.25899382E-01  7.26576577E-01
  2.26897231E-01  7.27319591E-01
  2.27895179E-01  7.28065790E-01
  2.28893226E-01  7.28808238E-01
  2.29891374E-01  7.29553813E-01
  2.30889621E-01  7.30295738E-01
  2.31887968E-01  7.31040733E-01
  2.32886415E-01  7.31782175E-01
  2.33884962E-01  7.32526630E-01
  2.34883609E-01  7.33267631E-01
  2.35882356E-01  7.34011587E-01
  2.36881202E-01  7.34752183E-01
  2.37880149E-01  7.35495679E-01
  2.38879195E-01  7.36235906E-01
  2.39878341E-01  7.36978979E-01
  2.40877587E-01  7.37718874E-01
  2.41876933E-01  7.38461560E-01
  2.42876379E-01  7.39201155E-01
  2.43875925E-01  7.39943488E-01
  2.44875571E-01  7.40682816E-01
  2.45875317E-01  7.41424830E-01
  2.46875163E-01  7.42163921E-01
  2.47875109E-01  7.42905648E-01
  2.48875155E-01  7.43644533E-01
  2.49875300E-01  7.44386002E-01
  2.50875546E-01  7.45124709E-01
  2.51875892E-01  7.45865950E-01
  2.52876338E-01  7.46604507E-01
  2.53876884E-01  7.47345548E-01
  2.54877530E-01  7.48083981E-01
  2.55878276E-01  7.48824849E-01
  2.56879122E-01  7.49563182E-01
  2.57880069E-01  7.50303902E-01
  2.58881115E-01  7.51042161E-01
  2.59882262E-01  7.51782758E-01
  2.60883508E-01  7.52520965E-01
  2.61884855E-01  7.53261463E-01
  2.62886302E-01  7.53999639E-01
  2.63887849E-01  7.54740061E-01
  2.64889496E-01  7.55478228E-01
  2.65891243E-01  7.56218594E-01
  2.66893091E-01  7.56956772E-01
  2.67895039E-01  7.57697103E-01
  2.68897087E-01  7.58435311E-01
  2.69899235E-01  7.59175627E-01
  2.70901483E-01  7.59913883E-01
  2.71903832E-01  7.60654203E-01
  2.72906280E-01  7.61392524E-01
  2.73908830E-01  7.62132865E-01
  2.74911479E-01  7.62871267E-01
  2.75914229E-01  7.63611647E-01
  2.76917078E-01  7.64350146E-01
  2.77920029E-01  7.65090580E-01
  2.78923079E-01  7.65829191E-01
  2.79926230E-01  7.66569695E-01
  2.80929481E-01  7.67308431E-01
  2.81932832E-01  7.68049019E-01
  2.82936284E-01  7.68787895E-01
  2.83939836E-01  7.69528580E-01
  2.84943489E-01  7.70267607E-01
  2.85947242E-01  7.71008403E-01
  2.86951095E-01  7.71747593E-01
  2.87955049E-01  7.72488512E-01
  2.88959103E-01  7.73227876E-01
  2.89963257E-01  7.73968930E-01
  2.90967512E-01  7.74708477E-01
  2.91971867E-01  7.75449676E-01
  2.92976323E-01  7.76189418E-01
  2.93980879E-01  7.76930772E-01
  2.94985536E-01  7.77670717E-01
  2.95990293E-01  7.78412236E-01
  2.96995150E-01  7.79152392E-01
  2.98000109E-01  7.79894085E-01
  2.99005167E-01  7.80634460E-01
  3.00010326E-01  7.81376335E-01
  3.01015586E-01  7.82116935E-01
  3.02020946E-01  7.82859000E-01
  3.03026407E-01  7.83599834E-01
  3.04031968E-01  7.84342095E-01
  3.05037630E-01  7.85083167E-01
  3.06043392E-01  7.85825632E-01
  3.07049255E-01  7.86566949E-01
  3.08055219E-01  7.87309623E-01
  3.09061283E-01  7.88051189E-01
  3.10067447E-01  7.88794077E-01
  3.11073713E-01  7.89535897E-01
  3.12080079E-01  7.90279005E-01
  3.13086546E-01  7.91021082E-01
  3.14093113E-01  7.91764415E-01
  3.15099781E-01  7.92506753E-01
  3.16106549E-01  7.93250314E-01
  3.17113419E-01  7.93992916E-01
  3.18120389E-01  7.94736708E-01
  3.19127460E-01  7.95479577E-01
  3.20134631E-01  7.96223605E-01
  3.21141903E-01  7.96966742E-01
  3.22149276E-01  7.97711007E-01
  3.23156750E-01  7.98454415E-01
  3.24164324E-01  7.99198919E-01
  3.25171999E-01  7.99942600E-01
  3.26179775E-01  8.00687345E-01
  3.27187652E-01  8.01431298E-01
  3.28195629E-01  8.02176286E-01
  3.29203707E-01  8.02920513E-01
  3.30211887E-01  8.03665744E-01
  3.31220167E-01  8.04410245E-01
  3.32228547E-01  8.05155720E-01
  3.33237029E-01  8.05900494E-01
  3.34245611E-01  8.06646214E-01
  3.35254295E-01  8.07391261E-01
  3.36263079E-01  8.08137226E-01
  3.37271964E-01  8.08882545E-01
  3.38280950E-01  8.09628754E-01
  3.39290037E-01  8.10374344E-01
  3.40299225E-01  8.11120796E-01
  3.41308513E-01  8.11866655E-01
  3.42317903E-01  8.12613350E-01
  3.43327394E-01  8.13359477E-01
  3.44336985E-01  8.14106413E-01
  3.45346678E-01  8.14852805E-01
  3.46356471E-01  8.15599981E-01
  3.47366365E-01  8.16346637E-01
  3.48376361E-01  8.17094050E-01
  3.49386457E-01  8.17840966E-01
  3.50396655E-01  8.18588615E-01
  3.51406953E-01  8.19335789E-01
  3.52417353E-01  8.20083670E-01
  3.53427854E-01  8.20831099E-01
  3.54438455E-01  8.21579211E-01
  3.55449158E-01  8.22326891E-01
  3.56459962E-01  8.23075231E-01
  3.57470867E-01  8.23823158E-01
  3.58481872E-01  8.24571722E-01
  3.59492980E-01  8.25319894E-01
  3.60504188E-01  8.26068679E-01
  3.61515497E-01  8.26817091E-01
  3.62526907E-01  8.27566093E-01
  3.63538419E-01  8.28314741E-01
  3.64550032E-01  8.29063957E-01
  3.65561746E-01  8.29812836E-01
  3.66573561E-01  8.30562263E-01
  3.67585477E-01  8.31311368E-01
  3.68597495E-01  8.32061001E-01
  3.69609613E-01  8.32810328E-01
  3.70621833E-01  8.33560162E-01
  3.71634154E-01  8.34309707E-01
  3.72646577E-01  8.35059738E-01
  3.73659100E-01  8.35809496E-01
  3.74671725E-01  8.36559719E-01
  3.75684451E-01  8.37309683E-01
  3.76697279E-01  8.38060095E-01
  3.77710207E-01  8.38810261E-01
  3.78723237E-01  8.39560855E-01
  3.79736369E-01  8.40311217E-01
  3.80749601E-01  8.41061989E-01
  3.81762935E-01  8.41812543E-01
  3.82776370E-01  8.42563487E-01
  3.83789907E-01  8.43314226E-01
  3.84803545E-01  8.44065338E-01
  3.85817284E-01  8.44816256E-01
  3.86831125E-01  8.45567530E-01
  3.87845067E-01  8.46318621E-01
  3.88859111E-01  8.47070052E-01
  3.89873256E-01  8.47821311E-01
  3.90887502E-01  8.48572893E-01
  3.91901850E-01  8.49324313E-01
  3.92916299E-01  8.50076041E-01
  3.93930850E-01  8.50827617E-01
  3.94945502E-01  8.51579484E-01
  3.95960256E-01  8.52331209E-01
  3.96975111E-01  8.53083210E-01
  3.97990067E-01  8.53835078E-01
  3.99005125E-01  8.54587208E-01
  4.00020285E-01  8.55339212E-01
  4.01035546E-01  8.56091464E-01
  4.02050909E-01  8.56843598E-01
  4.03066373E-01  8.57595966E-01
  4.04081939E-01  8.58348224E-01
  4.05097606E-01  8.59100703E-01
  4.06113375E-01  8.59853078E-01
  4.07129245E-01  8.60605661E-01
  4.08145217E-01  8.61358148E-01
  4.09161291E-01  8.62110829E-01
  4.10177466E-01  8.62863419E-01
  4.11193743E-01  8.63616193E-01
  4.12210122E-01  8.64368881E-01
  4.13226602E-01  8.65121740E-01
  4.14243184E-01  8.65874520E-01
  4.15259867E-01  8.66627459E-01
  4.16276652E-01  8.67380324E-01
  4.17293539E-01  8.68133336E-01
  4.18310528E-01  8.68886280E-01
  4.19327618E-01  8.69639360E-01
  4.20344810E-01  8.70392374E-01
  4.21362103E-01  8.71145516E-01
  4.22379499E-01  8.71898596E-01
  4.23396996E-01  8.72651793E-01
  4.24414595E-01  8.73404931E-01
  4.25432296E-01  8.74158177E-01
  4.26450098E-01  8.74911368E-01
  4.27468002E-01  8.75664657E-01
  4.28486008E-01  8.76417894E-01
  4.29504116E-01  8.77171219E-01
  4.30522326E-01  8.77924496E-01
  4.31540637E-01  8.78677851E-01
  4.32559051E-01  8.79431161E-01
  4.33577566E-01  8.80184542E-01
  4.34596183E-01  8.80937878E-01
  4.35614902E-01  8.81691277E-01
