 ######################################################################
 #Data for Case=          10
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001      3047  1.28400002E+01  1.35819072E+01  1.17553506E+01  5.54780406E-01  1.04874658E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  9.75257087E-04  1.04781585E-01
  1.95061171E-03  1.99456467E-01
  2.92606386E-03  2.94484855E-01
  3.90161357E-03  3.45537883E-01
  4.87726084E-03  4.04017914E-01
  5.85300568E-03  4.32327052E-01
  6.82884809E-03  4.67487848E-01
  7.80478810E-03  4.86329598E-01
  8.78082571E-03  5.09383477E-01
  9.75696092E-03  5.23228854E-01
  1.07331938E-02  5.39623414E-01
  1.17095242E-02  5.50417458E-01
  1.26859523E-02  5.62828658E-01
  1.36624781E-02  5.71592425E-01
  1.46391015E-02  5.81438342E-01
  1.56158225E-02  5.88771325E-01
  1.65926413E-02  5.96863659E-01
  1.75695577E-02  6.03144287E-01
  1.85465718E-02  6.09979465E-01
  1.95236837E-02  6.15459485E-01
  2.05008932E-02  6.21358181E-01
  2.14782005E-02  6.26212065E-01
  2.24556055E-02  6.31390960E-01
  2.34331083E-02  6.35743738E-01
  2.44107088E-02  6.40354809E-01
  2.53884071E-02  6.44298623E-01
  2.63662031E-02  6.48451858E-01
  2.73440970E-02  6.52056253E-01
  2.83220886E-02  6.55833396E-01
  2.93001780E-02  6.59151964E-01
  3.02783653E-02  6.62615172E-01
  3.12566504E-02  6.65689960E-01
  3.22350333E-02  6.68887448E-01
  3.32135140E-02  6.71751979E-01
  3.41920926E-02  6.74721802E-01
  3.51707691E-02  6.77403187E-01
  3.61495434E-02  6.80175849E-01
  3.71284157E-02  6.82696294E-01
  3.81073858E-02  6.85296585E-01
  3.90864538E-02  6.87674492E-01
  4.00656197E-02  6.90122809E-01
  4.10448836E-02  6.92373584E-01
  4.20242454E-02  6.94686900E-01
  4.30037051E-02  6.96823567E-01
  4.39832628E-02  6.99016146E-01
  4.49629184E-02  7.01049811E-01
  4.59426720E-02  7.03133756E-01
  4.69225236E-02  7.05073965E-01
  4.79024731E-02  7.07059628E-01
  4.88825207E-02  7.08914647E-01
  4.98626663E-02  7.10810955E-01
  5.08429099E-02  7.12587991E-01
  5.18232515E-02  7.14402694E-01
  5.28036912E-02  7.16108069E-01
  5.37842289E-02  7.17847942E-01
  5.47648647E-02  7.19487233E-01
  5.57455986E-02  7.21158235E-01
  5.67264305E-02  7.22736390E-01
  5.77073605E-02  7.24343788E-01
  5.86883886E-02  7.25865216E-01
  5.96695148E-02  7.27413694E-01
  6.06507392E-02  7.28882345E-01
  6.16320616E-02  7.30376086E-01
  6.26134822E-02  7.31795511E-01
  6.35950010E-02  7.33238268E-01
  6.45766179E-02  7.34611673E-01
  6.55583330E-02  7.36006825E-01
  6.65401462E-02  7.37337116E-01
  6.75220576E-02  7.38687721E-01
  6.85040673E-02  7.39977539E-01
  6.94861751E-02  7.41286371E-01
  7.04683812E-02  7.42538126E-01
  7.14506854E-02  7.43807711E-01
  7.24330880E-02  7.45023607E-01
  7.34155887E-02  7.46256252E-01
  7.43981877E-02  7.47438311E-01
  7.53808850E-02  7.48636129E-01
  7.63636806E-02  7.49786211E-01
  7.73465744E-02  7.50951143E-01
  7.83295665E-02  7.52070963E-01
  7.93126570E-02  7.53204795E-01
  8.02958457E-02  7.54295938E-01
  8.12791328E-02  7.55400320E-01
  8.22625182E-02  7.56464253E-01
  8.32460019E-02  7.57540710E-01
  8.42295840E-02  7.58578794E-01
  8.52132645E-02  7.59628741E-01
  8.61970433E-02  7.60642241E-01
  8.71809206E-02  7.61666990E-01
  8.81648962E-02  7.62657087E-01
  8.91489702E-02  7.63657860E-01
  9.01331426E-02  7.64625652E-01
  9.11174135E-02  7.65603588E-01
  9.21017828E-02  7.66550103E-01
  9.30862505E-02  7.67506265E-01
  9.40708167E-02  7.68432465E-01
  9.50554813E-02  7.69367848E-01
  9.60402444E-02  7.70274633E-01
  9.70251060E-02  7.71190166E-01
  9.80100661E-02  7.72078383E-01
  9.89951247E-02  7.72974941E-01
  9.99802818E-02  7.73845384E-01
  1.00965537E-01  7.74723785E-01
  1.01950892E-01  7.75577202E-01
  1.02936344E-01  7.76438218E-01
  1.03921895E-01  7.77275313E-01
  1.04907545E-01  7.78119669E-01
  1.05893294E-01  7.78941107E-01
  1.06879141E-01  7.79769486E-01
  1.07865086E-01  7.80575894E-01
  1.08851130E-01  7.81388942E-01
  1.09837273E-01  7.82180911E-01
  1.10823514E-01  7.82979238E-01
  1.11809854E-01  7.83757330E-01
  1.12796293E-01  7.84541511E-01
  1.13782830E-01  7.85306257E-01
  1.14769466E-01  7.86076838E-01
  1.15756201E-01  7.86828741E-01
  1.16743034E-01  7.87586238E-01
  1.17729966E-01  7.88325775E-01
  1.18716997E-01  7.89070679E-01
  1.19704126E-01  7.89798303E-01
  1.20691354E-01  7.90531078E-01
  1.21678681E-01  7.91247220E-01
  1.22666107E-01  7.91968308E-01
  1.23653631E-01  7.92673377E-01
  1.24641254E-01  7.93383198E-01
  1.25628976E-01  7.94077585E-01
  1.26616796E-01  7.94776538E-01
  1.27604716E-01  7.95460614E-01
  1.28592734E-01  7.96149079E-01
  1.29580851E-01  7.96823197E-01
  1.30569067E-01  7.97501538E-01
  1.31557381E-01  7.98166036E-01
  1.32545795E-01  7.98834597E-01
  1.33534307E-01  7.99489798E-01
  1.34522918E-01  8.00148908E-01
  1.35511629E-01  8.00795119E-01
  1.36500437E-01  8.01445094E-01
  1.37489345E-01  8.02082610E-01
  1.38478352E-01  8.02723750E-01
  1.39467458E-01  8.03352851E-01
  1.40456662E-01  8.03985445E-01
  1.41445966E-01  8.04606401E-01
  1.42435368E-01  8.05230722E-01
  1.43424869E-01  8.05843791E-01
  1.44414470E-01  8.06460104E-01
  1.45404169E-01  8.07065532E-01
  1.46393967E-01  8.07674088E-01
  1.47383864E-01  8.08272113E-01
  1.48373861E-01  8.08873154E-01
  1.49363956E-01  8.09464003E-01
  1.50354150E-01  8.10057760E-01
  1.51344443E-01  8.10641650E-01
  1.52334836E-01  8.11228346E-01
  1.53325327E-01  8.11805487E-01
  1.54315917E-01  8.12385335E-01
  1.55306607E-01  8.12955927E-01
  1.56297395E-01  8.13529132E-01
  1.57288283E-01  8.14093368E-01
  1.58279270E-01  8.14660127E-01
  1.59270355E-01  8.15218194E-01
  1.60261540E-01  8.15778696E-01
  1.61252824E-01  8.16330772E-01
  1.62244207E-01  8.16885199E-01
  1.63235690E-01  8.17431455E-01
  1.64227271E-01  8.17979982E-01
  1.65218952E-01  8.18520584E-01
  1.66210732E-01  8.19063380E-01
  1.67202611E-01  8.19598487E-01
  1.68194589E-01  8.20135714E-01
  1.69186666E-01  8.20665481E-01
  1.70178843E-01  8.21197294E-01
  1.71171119E-01  8.21721868E-01
  1.72163494E-01  8.22248419E-01
  1.73155968E-01  8.22767943E-01
  1.74148542E-01  8.23289377E-01
  1.75141214E-01  8.23803988E-01
  1.76133986E-01  8.24320446E-01
  1.77126858E-01  8.24830278E-01
  1.78119828E-01  8.25341894E-01
  1.79112898E-01  8.25847074E-01
  1.80106068E-01  8.26353979E-01
  1.81099336E-01  8.26854632E-01
  1.82092704E-01  8.27356952E-01
  1.83086172E-01  8.27853197E-01
  1.84079738E-01  8.28351054E-01
  1.85073404E-01  8.28843007E-01
  1.86067169E-01  8.29336518E-01
  1.87061034E-01  8.29824291E-01
  1.88054998E-01  8.30313570E-01
  1.89049062E-01  8.30797272E-01
  1.90043225E-01  8.31282429E-01
  1.91037487E-01  8.31762163E-01
  1.92031849E-01  8.32243304E-01
  1.93026310E-01  8.32719173E-01
  1.94020871E-01  8.33196401E-01
  1.95015531E-01  8.33668502E-01
  1.96010291E-01  8.34141916E-01
  1.97005150E-01  8.34610345E-01
  1.98000108E-01  8.35080042E-01
  1.98995166E-01  8.35544890E-01
  1.99990324E-01  8.36010963E-01
  2.00985581E-01  8.36472319E-01
  2.01980938E-01  8.36934860E-01
  2.02976394E-01  8.37392810E-01
  2.03971950E-01  8.37851905E-01
  2.04967605E-01  8.38306533E-01
  2.05963360E-01  8.38762268E-01
  2.06959214E-01  8.39213656E-01
  2.07955168E-01  8.39666111E-01
  2.08951222E-01  8.40114337E-01
  2.09947375E-01  8.40563595E-01
  2.10943628E-01  8.41008735E-01
  2.11939981E-01  8.41454871E-01
  2.12936433E-01  8.41897000E-01
  2.13932985E-01  8.42340090E-01
  2.14929636E-01  8.42779279E-01
  2.15926387E-01  8.43219396E-01
  2.16923238E-01  8.43655715E-01
  2.17920188E-01  8.44092930E-01
  2.18917239E-01  8.44526447E-01
  2.19914389E-01  8.44960828E-01
  2.20911638E-01  8.45391609E-01
  2.21908988E-01  8.45823223E-01
  2.22906437E-01  8.46251331E-01
  2.23903985E-01  8.46680243E-01
  2.24901634E-01  8.47105740E-01
  2.25899382E-01  8.47532013E-01
  2.26897231E-01  8.47954960E-01
  2.27895179E-01  8.48378655E-01
  2.28893226E-01  8.48799111E-01
  2.29891374E-01  8.49220286E-01
  2.30889621E-01  8.49638308E-01
  2.31887968E-01  8.50057023E-01
  2.32886415E-01  8.50472665E-01
  2.33884962E-01  8.50888975E-01
  2.34883609E-01  8.51302292E-01
  2.35882356E-01  8.51716252E-01
  2.36881202E-01  8.52127296E-01
  2.37880149E-01  8.52538958E-01
  2.38879195E-01  8.52947781E-01
  2.39878341E-01  8.53357198E-01
  2.40877587E-01  8.53763848E-01
  2.41876933E-01  8.54171069E-01
  2.42876379E-01  8.54575596E-01
  2.43875925E-01  8.54980670E-01
  2.44875571E-01  8.55383120E-01
  2.45875317E-01  8.55786095E-01
  2.46875163E-01  8.56186514E-01
  2.47875109E-01  8.56587436E-01
  2.48875155E-01  8.56985867E-01
  2.49875300E-01  8.57384782E-01
  2.50875546E-01  8.57781270E-01
  2.51875892E-01  8.58178221E-01
  2.52876338E-01  8.58572807E-01
  2.53876884E-01  8.58967836E-01
  2.54877530E-01  8.59360562E-01
  2.55878276E-01  8.59753712E-01
  2.56879122E-01  8.60144617E-01
  2.57880069E-01  8.60535927E-01
  2.58881115E-01  8.60925051E-01
  2.59882262E-01  8.61314561E-01
  2.60883508E-01  8.61701941E-01
  2.61884855E-01  8.62089689E-01
  2.62886302E-01  8.62475362E-01
  2.63887849E-01  8.62861387E-01
  2.64889496E-01  8.63245388E-01
  2.65891243E-01  8.63629725E-01
  2.66893091E-01  8.64012090E-01
  2.67895039E-01  8.64394775E-01
  2.68897087E-01  8.64775538E-01
  2.69899235E-01  8.65156604E-01
  2.70901483E-01  8.65535800E-01
  2.71903832E-01  8.65915281E-01
  2.72906280E-01  8.66292940E-01
  2.73908830E-01  8.66670870E-01
