 ######################################################################
 #Data for Case=           2
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000001E-01     101       637  1.28400002E+01  1.29470461E+01  7.09565529E+00  3.46811560E-01  2.58747477E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  3.56721586E-04  1.49775280E-02
  7.50959909E-04  3.15204878E-02
  1.18666064E-03  4.97968641E-02
  1.66818442E-03  6.98414998E-02
  2.20035049E-03  9.19070042E-02
  2.78848496E-03  1.15236557E-01
  3.43847408E-03  1.40436476E-01
  4.15682314E-03  1.64775098E-01
  4.95072164E-03  1.90098514E-01
  5.82811518E-03  2.12178665E-01
  6.79778500E-03  2.34558932E-01
  7.86943588E-03  2.53094796E-01
  9.05379328E-03  2.71683354E-01
  1.03627106E-02  2.86970086E-01
  1.18092880E-02  3.02191473E-01
  1.34080033E-02  3.14895976E-01
  1.51748569E-02  3.27466570E-01
  1.71275322E-02  3.38204750E-01
  1.92855721E-02  3.48779830E-01
  2.16705750E-02  3.58042240E-01
  2.43064109E-02  3.67142150E-01
  2.72194601E-02  3.75306107E-01
  3.04388773E-02  3.83326724E-01
  3.39968836E-02  3.90681310E-01
  3.79290887E-02  3.97920943E-01
  4.22748474E-02  4.04688385E-01
  4.70776536E-02  4.11371939E-01
  5.23855753E-02  4.17723303E-01
  5.82517360E-02  4.24020443E-01
  6.47348463E-02  4.30087153E-01
  7.18997912E-02  4.36126078E-01
  7.98182799E-02  4.42009798E-01
  8.85695634E-02  4.47889613E-01
  9.82412275E-02  4.53673114E-01
  1.08930069E-01  4.59477389E-01
  1.20743066E-01  4.65237947E-01
  1.33798447E-01  4.71050474E-01
  1.48226875E-01  4.76875678E-01
  1.64172753E-01  4.82797897E-01
  1.81795674E-01  4.88803119E-01
  2.01272014E-01  4.94972978E-01
  2.22796698E-01  5.01321051E-01
  2.46585154E-01  5.07934716E-01
  2.72875463E-01  5.14859318E-01
  3.01930748E-01  5.22195963E-01
  3.34041804E-01  5.30024623E-01
  3.69530009E-01  5.38461551E-01
  4.08750541E-01  5.47610074E-01
  4.52095933E-01  5.57578780E-01
  5.00000000E-01  5.68450466E-01
  5.47904067E-01  5.79172858E-01
  5.91249459E-01  5.88757367E-01
  6.30469991E-01  5.97369333E-01
  6.65958196E-01  6.05170539E-01
  6.98069252E-01  6.12303929E-01
  7.27124537E-01  6.18902156E-01
  7.53414846E-01  6.25063066E-01
  7.77203302E-01  6.30886499E-01
  7.98727986E-01  6.36429225E-01
  8.18204326E-01  6.41769154E-01
  8.35827247E-01  6.46931830E-01
  8.51773125E-01  6.51984428E-01
  8.66201553E-01  6.56929075E-01
  8.79256934E-01  6.61831170E-01
  8.91069931E-01  6.66674620E-01
  9.01758773E-01  6.71530309E-01
  9.11430437E-01  6.76367235E-01
  9.20181720E-01  6.81267844E-01
  9.28100209E-01  6.86188080E-01
  9.35265154E-01  6.91227067E-01
  9.41748264E-01  6.96328288E-01
  9.47614425E-01  7.01612077E-01
  9.52922346E-01  7.07008985E-01
  9.57725153E-01  7.12665164E-01
  9.62070911E-01  7.18496888E-01
  9.66003116E-01  7.24681519E-01
  9.69561123E-01  7.31118863E-01
  9.72780540E-01  7.38024088E-01
  9.75693589E-01  7.45277207E-01
  9.78329425E-01  7.53138646E-01
  9.80714428E-01  7.61463321E-01
  9.82872468E-01  7.70563053E-01
  9.84825143E-01  7.80258345E-01
  9.86591997E-01  7.90910644E-01
  9.88190712E-01  8.02288059E-01
  9.89637289E-01  8.14775639E-01
  9.90946207E-01  8.28053721E-01
  9.92130564E-01  8.42450385E-01
  9.93202215E-01  8.57501382E-01
  9.94171885E-01  8.73329850E-01
  9.95049278E-01  8.89307672E-01
  9.95843177E-01  9.05279084E-01
  9.96561526E-01  9.20645241E-01
  9.97211515E-01  9.35203826E-01
  9.97799650E-01  9.48675249E-01
  9.98331816E-01  9.61030393E-01
  9.98813339E-01  9.72262313E-01
  9.99249040E-01  9.82446521E-01
  9.99643278E-01  9.91663087E-01
  1.00000000E+00  1.00000000E+00
