 ######################################################################
 #Data for Case=          10
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000001E-01     101       568  1.28400002E+01  1.35334319E+01  1.05960158E+01  5.55187282E-01  1.02698954E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  3.56721586E-04  3.83823913E-02
  7.50959909E-04  8.06839126E-02
  1.18666064E-03  1.27365057E-01
  1.66818442E-03  1.76703708E-01
  2.20035049E-03  2.30154404E-01
  2.78848496E-03  2.78634514E-01
  3.43847408E-03  3.28980368E-01
  4.15682314E-03  3.68159394E-01
  4.95072164E-03  4.08457967E-01
  5.82811518E-03  4.38623633E-01
  6.79778500E-03  4.69626755E-01
  7.86943588E-03  4.93346384E-01
  9.05379328E-03  5.17536282E-01
  1.03627106E-02  5.36813443E-01
  1.18092880E-02  5.56280965E-01
  1.34080033E-02  5.72468630E-01
  1.51748569E-02  5.88689094E-01
  1.71275322E-02  6.02703477E-01
  1.92855721E-02  6.16682031E-01
  2.16705750E-02  6.29158906E-01
  2.43064109E-02  6.41582528E-01
  2.72194601E-02  6.52971365E-01
  3.04388773E-02  6.64313560E-01
  3.39968836E-02  6.74932996E-01
  3.79290887E-02  6.85519286E-01
  4.22748474E-02  6.95591078E-01
  4.70776536E-02  7.05640709E-01
  5.23855753E-02  7.15313873E-01
  5.82517360E-02  7.24970517E-01
  6.47348463E-02  7.34343309E-01
  7.18997912E-02  7.43702547E-01
  7.98182799E-02  7.52845261E-01
  8.85695634E-02  7.61980730E-01
  9.82412275E-02  7.70957722E-01
  1.08930069E-01  7.79943788E-01
  1.20743066E-01  7.88831883E-01
  1.33798447E-01  7.97761287E-01
  1.48226875E-01  8.06664421E-01
  1.64172753E-01  8.15662710E-01
  1.81795674E-01  8.24725633E-01
  2.01272014E-01  8.33965958E-01
  2.22796698E-01  8.43389927E-01
  2.46585154E-01  8.53109956E-01
  2.72875463E-01  8.63169186E-01
  3.01930748E-01  8.73684092E-01
  3.34041804E-01  8.84727859E-01
  3.69530009E-01  8.96409114E-01
  4.08750541E-01  9.08795164E-01
  4.52095933E-01  9.21930387E-01
  5.00000000E-01  9.35783986E-01
  5.47904067E-01  9.48922671E-01
  5.91249459E-01  9.60188621E-01
  6.30469991E-01  9.69890182E-01
  6.65958196E-01  9.78301584E-01
  6.98069252E-01  9.85655974E-01
  7.27124537E-01  9.92154876E-01
  7.53414846E-01  9.97949085E-01
  7.77203302E-01  1.00317659E+00
  7.98727986E-01  1.00792649E+00
  8.18204326E-01  1.01229515E+00
  8.35827247E-01  1.01633110E+00
  8.51773125E-01  1.02010534E+00
  8.66201553E-01  1.02363983E+00
  8.79256934E-01  1.02698958E+00
  8.91069931E-01  1.03015794E+00
  9.01758773E-01  1.03318846E+00
  9.11430437E-01  1.03606974E+00
  9.20181720E-01  1.03883484E+00
  9.28100209E-01  1.04145835E+00
  9.35265154E-01  1.04396017E+00
  9.41748264E-01  1.04629811E+00
  9.47614425E-01  1.04847046E+00
  9.52922346E-01  1.05040898E+00
  9.57725153E-01  1.05206819E+00
  9.62070911E-01  1.05332321E+00
  9.66003116E-01  1.05400559E+00
  9.69561123E-01  1.05374324E+00
  9.72780540E-01  1.05261690E+00
  9.75693589E-01  1.05103623E+00
  9.78329425E-01  1.04903309E+00
  9.80714428E-01  1.04668231E+00
  9.82872468E-01  1.04402337E+00
  9.84825143E-01  1.04113060E+00
  9.86591997E-01  1.03805473E+00
  9.88190712E-01  1.03487876E+00
  9.89637289E-01  1.03166059E+00
  9.90946207E-01  1.02847267E+00
  9.92130564E-01  1.02536121E+00
  9.93202215E-01  1.02237137E+00
  9.94171885E-01  1.01952743E+00
  9.95049278E-01  1.01684807E+00
  9.95843177E-01  1.01433971E+00
  9.96561526E-01  1.01200460E+00
  9.97211515E-01  1.00983931E+00
  9.97799650E-01  1.00783833E+00
  9.98331816E-01  1.00599394E+00
  9.98813339E-01  1.00429770E+00
  9.99249040E-01  1.00274055E+00
  9.99643278E-01  1.00131336E+00
  1.00000000E+00  1.00000000E+00
