 ######################################################################
 #Data for Case=           5
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000000E-15     101      1018  1.28400002E+01  1.36080125E+01  9.71101073E+00  3.82746421E-01  1.30900042E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  1.00000000E-02  5.11382541E-01
  2.00000000E-02  5.19941177E-01
  3.00000000E-02  5.78726988E-01
  4.00000000E-02  5.87952723E-01
  5.00000000E-02  6.08408191E-01
  6.00000000E-02  6.16592201E-01
  7.00000000E-02  6.28223697E-01
  8.00000000E-02  6.34946338E-01
  9.00000000E-02  6.43122877E-01
  1.00000000E-01  6.48714771E-01
  1.10000000E-01  6.55080113E-01
  1.20000000E-01  6.59861504E-01
  1.30000000E-01  6.65114609E-01
  1.40000000E-01  6.69310560E-01
  1.50000000E-01  6.73817163E-01
  1.60000000E-01  6.77580526E-01
  1.70000000E-01  6.81557791E-01
  1.80000000E-01  6.84994382E-01
  1.90000000E-01  6.88582095E-01
  2.00000000E-01  6.91767284E-01
  2.10000000E-01  6.95060578E-01
  2.20000000E-01  6.98049502E-01
  2.30000000E-01  7.01115830E-01
  2.40000000E-01  7.03949732E-01
  2.50000000E-01  7.06838420E-01
  2.60000000E-01  7.09548683E-01
  2.70000000E-01  7.12296651E-01
  2.80000000E-01  7.14907424E-01
  2.90000000E-01  7.17542765E-01
  3.00000000E-01  7.20072737E-01
  3.10000000E-01  7.22617041E-01
  3.20000000E-01  7.25080649E-01
  3.30000000E-01  7.27550564E-01
  3.40000000E-01  7.29958857E-01
  3.50000000E-01  7.32367163E-01
  3.60000000E-01  7.34728432E-01
  3.70000000E-01  7.37084810E-01
  3.80000000E-01  7.39405068E-01
  3.90000000E-01  7.41716674E-01
  4.00000000E-01  7.44000055E-01
  4.10000000E-01  7.46271966E-01
  4.20000000E-01  7.48521064E-01
  4.30000000E-01  7.50756651E-01
  4.40000000E-01  7.52972837E-01
  4.50000000E-01  7.55174100E-01
  4.60000000E-01  7.57357821E-01
  4.70000000E-01  7.59525697E-01
  4.80000000E-01  7.61676780E-01
  4.90000000E-01  7.63811441E-01
  5.00000000E-01  7.65929374E-01
  5.10000000E-01  7.68030555E-01
  5.20000000E-01  7.70114792E-01
  5.30000000E-01  7.72181971E-01
  5.40000000E-01  7.74232136E-01
  5.50000000E-01  7.76264895E-01
  5.60000000E-01  7.78281056E-01
  5.70000000E-01  7.80279282E-01
  5.80000000E-01  7.82262140E-01
  5.90000000E-01  7.84226239E-01
  6.00000000E-01  7.86177297E-01
  6.10000000E-01  7.88108375E-01
  6.20000000E-01  7.90030078E-01
  6.30000000E-01  7.91930093E-01
  6.40000000E-01  7.93825954E-01
  6.50000000E-01  7.95697850E-01
  6.60000000E-01  7.97572572E-01
  6.70000000E-01  7.99420407E-01
  6.80000000E-01  8.01280026E-01
  6.90000000E-01  8.03109116E-01
  7.00000000E-01  8.04961195E-01
  7.10000000E-01  8.06778296E-01
  7.20000000E-01  8.08632210E-01
  7.30000000E-01  8.10445789E-01
  7.40000000E-01  8.12313155E-01
  7.50000000E-01  8.14133798E-01
  7.60000000E-01  8.16029142E-01
  7.70000000E-01  8.17870196E-01
  7.80000000E-01  8.19811999E-01
  7.90000000E-01  8.21690595E-01
  8.00000000E-01  8.23702974E-01
  8.10000000E-01  8.25641703E-01
  8.20000000E-01  8.27757190E-01
  8.30000000E-01  8.29786924E-01
  8.40000000E-01  8.32051242E-01
  8.50000000E-01  8.34216111E-01
  8.60000000E-01  8.36696851E-01
  8.70000000E-01  8.39063530E-01
  8.80000000E-01  8.41867015E-01
  8.90000000E-01  8.44543406E-01
  9.00000000E-01  8.47850592E-01
  9.10000000E-01  8.51027379E-01
  9.20000000E-01  8.55180091E-01
  9.30000000E-01  8.59236670E-01
  9.40000000E-01  8.64982949E-01
  9.50000000E-01  8.70815359E-01
  9.60000000E-01  8.80208667E-01
  9.70000000E-01  8.90591527E-01
  9.80000000E-01  9.11950282E-01
  9.90000000E-01  9.40185953E-01
  1.00000000E+00  1.00000000E+00
