 ######################################################################
 #Data for Case=          14
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000000E-15     101     10000  8.59000015E+00  4.11019760E+01  3.92378662E+01  8.88868551E-01  7.63356169E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  1.00000000E-02  4.12259393E+00
  2.00000000E-02  4.13023134E+00
  3.00000000E-02  4.28862404E+00
  4.00000000E-02  4.31835100E+00
  5.00000000E-02  4.37786436E+00
  6.00000000E-02  4.40359313E+00
  7.00000000E-02  4.43835011E+00
  8.00000000E-02  4.45872390E+00
  9.00000000E-02  4.48293845E+00
  1.00000000E-01  4.49938611E+00
  1.10000000E-01  4.51784214E+00
  1.20000000E-01  4.53154186E+00
  1.30000000E-01  4.54642077E+00
  1.40000000E-01  4.55816057E+00
  1.50000000E-01  4.57064201E+00
  1.60000000E-01  4.58094664E+00
  1.70000000E-01  4.59173760E+00
  1.80000000E-01  4.60096546E+00
  1.90000000E-01  4.61051900E+00
  2.00000000E-01  4.61892094E+00
  2.10000000E-01  4.62754075E+00
  2.20000000E-01  4.63529513E+00
  2.30000000E-01  4.64319036E+00
  2.40000000E-01  4.65042432E+00
  2.50000000E-01  4.65774053E+00
  2.60000000E-01  4.66454320E+00
  2.70000000E-01  4.67138073E+00
  2.80000000E-01  4.67781198E+00
  2.90000000E-01  4.68423760E+00
  3.00000000E-01  4.69033407E+00
  3.10000000E-01  4.69638899E+00
  3.20000000E-01  4.70216886E+00
  3.30000000E-01  4.70787464E+00
  3.40000000E-01  4.71334163E+00
  3.50000000E-01  4.71870493E+00
  3.60000000E-01  4.72385185E+00
  3.70000000E-01  4.72886841E+00
  3.80000000E-01  4.73368029E+00
  3.90000000E-01  4.73833813E+00
  4.00000000E-01  4.74279494E+00
  4.10000000E-01  4.74707698E+00
  4.20000000E-01  4.75115576E+00
  4.30000000E-01  4.75504180E+00
  4.40000000E-01  4.75871819E+00
  4.50000000E-01  4.76218618E+00
  4.60000000E-01  4.76543528E+00
  4.70000000E-01  4.76846186E+00
  4.80000000E-01  4.77125826E+00
  4.90000000E-01  4.77381854E+00
  5.00000000E-01  4.77613557E+00
  5.10000000E-01  4.77820212E+00
  5.20000000E-01  4.78001030E+00
  5.30000000E-01  4.78155151E+00
  5.40000000E-01  4.78281647E+00
  5.50000000E-01  4.78379454E+00
  5.60000000E-01  4.78447436E+00
  5.70000000E-01  4.78484110E+00
  5.80000000E-01  4.78486324E+00
  5.90000000E-01  4.78439772E+00
  6.00000000E-01  4.78335116E+00
  6.10000000E-01  4.78140282E+00
  6.20000000E-01  4.77814998E+00
  6.30000000E-01  4.77312699E+00
  6.40000000E-01  4.76576434E+00
  6.50000000E-01  4.75571241E+00
  6.60000000E-01  4.74256456E+00
  6.70000000E-01  4.72654150E+00
  6.80000000E-01  4.70753300E+00
  6.90000000E-01  4.68635671E+00
  7.00000000E-01  4.66280563E+00
  7.10000000E-01  4.63796777E+00
  7.20000000E-01  4.61116449E+00
  7.30000000E-01  4.58376974E+00
  7.40000000E-01  4.55474991E+00
  7.50000000E-01  4.52614897E+00
  7.60000000E-01  4.49684968E+00
  7.70000000E-01  4.46960032E+00
  7.80000000E-01  4.44310486E+00
  7.90000000E-01  4.42014406E+00
  8.00000000E-01  4.39894159E+00
  8.10000000E-01  4.38162994E+00
  8.20000000E-01  4.36601999E+00
  8.30000000E-01  4.35360575E+00
  8.40000000E-01  4.34215925E+00
  8.50000000E-01  4.33294554E+00
  8.60000000E-01  4.32387192E+00
  8.70000000E-01  4.31629883E+00
  8.80000000E-01  4.30811925E+00
  8.90000000E-01  4.30101203E+00
  9.00000000E-01  4.29248981E+00
  9.10000000E-01  4.28485156E+00
  9.20000000E-01  4.27456334E+00
  9.30000000E-01  4.26517316E+00
  9.40000000E-01  4.25053408E+00
  9.50000000E-01  4.23707948E+00
  9.60000000E-01  4.21082972E+00
  9.70000000E-01  4.18673718E+00
  9.80000000E-01  4.11223222E+00
  9.90000000E-01  4.04053437E+00
  1.00000000E+00  1.00000000E+00
