 ######################################################################
 #Data for Case=          17
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05     101     10000  3.08999991E+00  3.21470946E+00  2.09924281E+00  3.84256412E-02  1.28543652E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  0.00000000E+00  2.40385260E+01
  9.97551960E-03  1.48625417E+00
  1.99520368E-02  1.49794159E+00
  2.99295517E-02  1.50789190E+00
  3.99080644E-02  1.51609927E+00
  4.98875750E-02  1.52256313E+00
  5.98680836E-02  1.52724173E+00
  6.98495903E-02  1.53018812E+00
  7.98320953E-02  1.53136619E+00
  8.98155985E-02  1.53091430E+00
  9.98001001E-02  1.52908224E+00
  1.09785600E-01  1.52586568E+00
  1.19772099E-01  1.52194197E+00
  1.29759596E-01  1.51676981E+00
  1.39748093E-01  1.51138924E+00
  1.49737588E-01  1.50474269E+00
  1.59728082E-01  1.49813590E+00
  1.69719575E-01  1.49017491E+00
  1.79712067E-01  1.48234013E+00
  1.89705559E-01  1.47305359E+00
  1.99700050E-01  1.46389528E+00
  2.09695541E-01  1.45320593E+00
  2.19692031E-01  1.44260978E+00
  2.29689521E-01  1.43043265E+00
  2.39688011E-01  1.41830256E+00
  2.49687500E-01  1.40457278E+00
  2.59687990E-01  1.39084517E+00
  2.69689479E-01  1.37552684E+00
  2.79691969E-01  1.36017186E+00
  2.89695460E-01  1.34325666E+00
  2.99699950E-01  1.32627304E+00
  3.09705441E-01  1.30777479E+00
  3.19711933E-01  1.28918308E+00
  3.29719425E-01  1.26913168E+00
  3.39727919E-01  1.24896808E+00
  3.49737413E-01  1.22740460E+00
  3.59747908E-01  1.20571623E+00
  3.69759404E-01  1.18268926E+00
  3.79771901E-01  1.15953077E+00
  3.89785400E-01  1.13509392E+00
  3.99799900E-01  1.11052501E+00
  4.09815402E-01  1.08473524E+00
  4.19831905E-01  1.05881887E+00
  4.29849410E-01  1.03173528E+00
  4.39867916E-01  1.00453625E+00
  4.49887425E-01  9.76219226E-01
  4.59907936E-01  9.47802868E-01
  4.69929448E-01  9.18313342E-01
  4.79951963E-01  8.88744394E-01
  4.89975480E-01  8.58143211E-01
  5.00000000E-01  8.27484669E-01
  5.10024520E-01  8.12735431E-01
  5.20048037E-01  7.99948616E-01
  5.30070552E-01  7.90130512E-01
  5.40092064E-01  7.81950235E-01
  5.50112575E-01  7.75061448E-01
  5.60132084E-01  7.69123396E-01
  5.70150590E-01  7.63912482E-01
  5.80168095E-01  7.59278700E-01
  5.90184598E-01  7.55094719E-01
  6.00200100E-01  7.51277720E-01
  6.10214600E-01  7.47752594E-01
  6.20228099E-01  7.44465670E-01
  6.30240596E-01  7.41373084E-01
  6.40252092E-01  7.38433197E-01
  6.50262587E-01  7.35623830E-01
  6.60272081E-01  7.32905779E-01
  6.70280575E-01  7.30274402E-01
  6.80288067E-01  7.27686386E-01
  6.90294559E-01  7.25153395E-01
  7.00300050E-01  7.22622546E-01
  7.10304540E-01  7.20122475E-01
  7.20308031E-01  7.17585235E-01
  7.30310521E-01  7.15058640E-01
  7.40312010E-01  7.12453280E-01
  7.50312500E-01  7.09839930E-01
  7.60311989E-01  7.07099441E-01
  7.70310479E-01  7.04331275E-01
  7.80307969E-01  7.01374992E-01
  7.90304459E-01  6.98367158E-01
  8.00299950E-01  6.95088912E-01
  8.10294441E-01  6.91726384E-01
  8.20287933E-01  6.87975423E-01
  8.30280425E-01  6.84090570E-01
  8.40271918E-01  6.79637762E-01
  8.50262412E-01  6.74969358E-01
  8.60251907E-01  6.69442405E-01
  8.70240404E-01  6.63554604E-01
  8.80227901E-01  6.56303682E-01
  8.90214400E-01  6.48412414E-01
  9.00199900E-01  6.38206916E-01
  9.10184402E-01  6.26773326E-01
  9.20167905E-01  6.11050819E-01
  9.30150410E-01  5.92734055E-01
  9.40131916E-01  5.65565664E-01
  9.50112425E-01  5.32296197E-01
  9.60091936E-01  4.78717777E-01
  9.70070448E-01  4.09868959E-01
  9.80047963E-01  2.96977784E-01
  9.90024480E-01  1.59970565E-01
  1.00000000E+00  0.00000000E+00
