# GRID: NUMBER OF POINTS:  101 STRETCHING COEFFICIENT ALPHA:   9.99999975E-05
 #I        YPAD              YHAD
  1       -0.00029927        0.00000000
  2        0.00029927        0.00059853
  3        0.00059856        0.00029930
  4        0.00089789        0.00029933
  5        0.00119724        0.00029936
  6        0.00149663        0.00029939
  7        0.00179604        0.00029942
  8        0.00209549        0.00029945
  9        0.00239496        0.00029948
 10        0.00269447        0.00029951
 11        0.00299400        0.00029954
 12        0.00329357        0.00029956
 13        0.00359316        0.00029959
 14        0.00389279        0.00029962
 15        0.00419244        0.00029965
 16        0.00449213        0.00029968
 17        0.00479184        0.00029971
 18        0.00509159        0.00029974
 19        0.00539136        0.00029977
 20        0.00569117        0.00029980
 21        0.00599100        0.00029983
 22        0.00629087        0.00029986
 23        0.00659076        0.00029989
 24        0.00689069        0.00029992
 25        0.00719064        0.00029995
 26        0.00749062        0.00029998
 27        0.00779064        0.00030001
 28        0.00809068        0.00030004
 29        0.00839076        0.00030007
 30        0.00869086        0.00030010
 31        0.00899100        0.00030013
 32        0.00929116        0.00030016
 33        0.00959136        0.00030019
 34        0.00989158        0.00030022
 35        0.01019184        0.00030025
 36        0.01049212        0.00030028
 37        0.01079244        0.00030031
 38        0.01109278        0.00030034
 39        0.01139316        0.00030037
 40        0.01169356        0.00030040
 41        0.01199400        0.00030043
 42        0.01229446        0.00030047
 43        0.01259496        0.00030050
 44        0.01289548        0.00030053
 45        0.01319604        0.00030056
 46        0.01349662        0.00030059
 47        0.01379724        0.00030062
 48        0.01409788        0.00030065
 49        0.01439856        0.00030068
 50        0.01469926        0.00030071
 51        0.01500000        0.00030074
 52        0.01530074        0.00030074
 53        0.01560144        0.00030071
 54        0.01590212        0.00030068
 55        0.01620276        0.00030065
 56        0.01650338        0.00030062
 57        0.01680396        0.00030059
 58        0.01710452        0.00030056
 59        0.01740504        0.00030053
 60        0.01770554        0.00030050
 61        0.01800600        0.00030047
 62        0.01830644        0.00030043
 63        0.01860684        0.00030040
 64        0.01890722        0.00030037
 65        0.01920756        0.00030034
 66        0.01950788        0.00030031
 67        0.01980816        0.00030028
 68        0.02010842        0.00030025
 69        0.02040864        0.00030022
 70        0.02070884        0.00030019
 71        0.02100900        0.00030016
 72        0.02130914        0.00030013
 73        0.02160924        0.00030010
 74        0.02190932        0.00030007
 75        0.02220936        0.00030004
 76        0.02250937        0.00030001
 77        0.02280936        0.00029998
 78        0.02310931        0.00029995
 79        0.02340924        0.00029992
 80        0.02370913        0.00029989
 81        0.02400900        0.00029986
 82        0.02430883        0.00029983
 83        0.02460864        0.00029980
 84        0.02490841        0.00029977
 85        0.02520816        0.00029974
 86        0.02550787        0.00029971
 87        0.02580756        0.00029968
 88        0.02610721        0.00029965
 89        0.02640684        0.00029962
 90        0.02670643        0.00029959
 91        0.02700600        0.00029956
 92        0.02730553        0.00029954
 93        0.02760504        0.00029951
 94        0.02790451        0.00029948
 95        0.02820396        0.00029945
 96        0.02850337        0.00029942
 97        0.02880276        0.00029939
 98        0.02910211        0.00029936
 99        0.02940144        0.00029933
100        0.02970073        0.00029930
101        0.03029926        0.00059853
