#    y/2h      U/Ub
#23
 .6434E-02 .1859E+00
 .1608E-01 .2726E+00
 .2964E-01 .3141E+00
 .4550E-01 .3428E+00
 .9237E-01 .3850E+00
 .1372E+00 .4048E+00
 .1795E+00 .4199E+00
 .2295E+00 .4317E+00
 .2723E+00 .4372E+00
 .3180E+00 .4563E+00
 .3628E+00 .4651E+00
 .4092E+00 .4765E+00
 .4554E+00 .4853E+00
 .5014E+00 .4952E+00
 .5460E+00 .5073E+00
 .5938E+00 .5165E+00
 .6381E+00 .5320E+00
 .6799E+00 .5408E+00
 .7295E+00 .5522E+00
 .7725E+00 .5650E+00
 .8171E+00 .5735E+00
 .8647E+00 .5904E+00
 .9095E+00 .6143E+00

