#    y/2h      U/Ub
# 23
 .7100E-02 .6862E+00
 .1630E-01 .7907E+00
 .2800E-01 .8648E+00
 .4370E-01 .9260E+00
 .8550E-01 .1029E+01
 .1366E+00 .1081E+01
 .1785E+00 .1110E+01
 .2200E+00 .1151E+01
 .2677E+00 .1167E+01
 .3089E+00 .1181E+01
 .3597E+00 .1214E+01
 .4049E+00 .1226E+01
 .4477E+00 .1237E+01
 .4994E+00 .1247E+01
 .5446E+00 .1249E+01
 .5923E+00 .1260E+01
 .6385E+00 .1267E+01
 .6708E+00 .1266E+01
 .7197E+00 .1271E+01
 .7674E+00 .1268E+01
 .8166E+00 .1256E+01
 .8625E+00 .1247E+01
 .9074E+00 .1229E+01
